Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0370,0.0370,1.0000,15.3,-0.9266,150289
2000,0.0430,0.0400,1.0000,15.0,-0.9138,301813
3000,0.0340,0.0380,1.0000,14.9,-0.9323,453375
4000,0.0370,0.0377,1.0000,14.9,-0.9257,604521
5000,0.0450,0.0392,1.0000,14.8,-0.9102,754816
6000,0.0450,0.0402,0.9976,15.2,-0.9105,890258
7000,0.0440,0.0407,0.9976,15.0,-0.9117,1026779
8000,0.0410,0.0408,0.9976,14.9,-0.9182,1163218
9000,0.0450,0.0412,0.9976,14.8,-0.9101,1298077
10000,0.0370,0.0408,0.9976,14.8,-0.9261,1434380
11000,0.0410,0.0408,0.9952,14.9,-0.9187,1566794
12000,0.0280,0.0398,0.9952,14.9,-0.9438,1700082
13000,0.0310,0.0391,0.9952,14.9,-0.9381,1833852
14000,0.0410,0.0392,0.9952,14.7,-0.9181,1969496
15000,0.0380,0.0391,0.9952,14.7,-0.9239,2103219
16000,0.0410,0.0392,0.9929,14.7,-0.9184,2234091
17000,0.0360,0.0390,0.9929,14.8,-0.9283,2363724
18000,0.0470,0.0394,0.9929,14.6,-0.9060,2493937
19000,0.0350,0.0392,0.9929,14.5,-0.9302,2624150
20000,0.0420,0.0394,0.9929,14.7,-0.9158,2753576
21000,0.0360,0.0392,0.9905,14.3,-0.9288,2882328
22000,0.0390,0.0392,0.9905,14.6,-0.9219,3009887
23000,0.0410,0.0393,0.9905,14.6,-0.9182,3136886
24000,0.0430,0.0395,0.9905,14.5,-0.9138,3263338
25000,0.0310,0.0391,0.9905,14.6,-0.9379,3390007
26000,0.0420,0.0392,0.9881,14.4,-0.9164,3516492
27000,0.0360,0.0391,0.9881,14.6,-0.9283,3643953
28000,0.0410,0.0392,0.9881,14.6,-0.9181,3769056
29000,0.0340,0.0390,0.9881,14.6,-0.9317,3893950
30000,0.0470,0.0393,0.9881,14.6,-0.9059,4021015
31000,0.0450,0.0395,0.9858,14.5,-0.9104,4145385
32000,0.0390,0.0395,0.9858,14.7,-0.9220,4269199
33000,0.0380,0.0394,0.9858,14.7,-0.9242,4392128
34000,0.0520,0.0398,0.9858,14.5,-0.8959,4517332
35000,0.0370,0.0397,0.9858,14.7,-0.9263,4642131
36000,0.0470,0.0399,0.9834,14.3,-0.9067,4765464
37000,0.0420,0.0400,0.9834,14.6,-0.9162,4889418
38000,0.0480,0.0402,0.9834,14.6,-0.9039,5011299
39000,0.0460,0.0404,0.9834,14.5,-0.9077,5134971
40000,0.0450,0.0405,0.9834,14.6,-0.9103,5257680
41000,0.0460,0.0406,0.9810,14.3,-0.9087,5378233
42000,0.0480,0.0408,0.9810,14.7,-0.9038,5498265
43000,0.0490,0.0410,0.9810,14.7,-0.9022,5618997
44000,0.0430,0.0410,0.9810,14.6,-0.9138,5738508
45000,0.0370,0.0410,0.9810,14.7,-0.9262,5861256
46000,0.0490,0.0412,0.9786,14.6,-0.9028,5978429
47000,0.0430,0.0412,0.9786,14.7,-0.9140,6100280
48000,0.0380,0.0411,0.9786,14.7,-0.9235,6220698
49000,0.0400,0.0411,0.9786,14.6,-0.9205,6340753
50000,0.0340,0.0410,0.9786,14.7,-0.9314,6460955
51000,0.0450,0.0411,0.9762,14.7,-0.9109,6578649
52000,0.0370,0.0410,0.9762,14.9,-0.9257,6698505
53000,0.0340,0.0409,0.9762,14.9,-0.9322,6817390
54000,0.0390,0.0408,0.9762,14.7,-0.9214,6934654
55000,0.0540,0.0411,0.9762,14.7,-0.8924,7054566
56000,0.0460,0.0412,0.9739,14.0,-0.9084,7172330
57000,0.0500,0.0413,0.9739,14.4,-0.9000,7290416
58000,0.0490,0.0415,0.9739,14.5,-0.9024,7407209
59000,0.0440,0.0415,0.9739,14.5,-0.9117,7525813
60000,0.0400,0.0415,0.9739,14.6,-0.9201,7642337
61000,0.0380,0.0414,0.9715,14.2,-0.9247,7756770
62000,0.0410,0.0414,0.9715,14.6,-0.9179,7871171
63000,0.0510,0.0416,0.9715,14.7,-0.8980,7987799
64000,0.0360,0.0415,0.9715,14.6,-0.9278,8103409
65000,0.0320,0.0414,0.9715,14.6,-0.9362,8220288
66000,0.0440,0.0414,0.9691,14.1,-0.9128,8334239
67000,0.0560,0.0417,0.9691,14.3,-0.8876,8449095
68000,0.0520,0.0418,0.9691,14.5,-0.8961,8563943
69000,0.0500,0.0419,0.9691,14.4,-0.9000,8681205
70000,0.0510,0.0421,0.9691,14.5,-0.8981,8794553
71000,0.0490,0.0422,0.9667,14.5,-0.9024,8906470
72000,0.0390,0.0422,0.9667,14.5,-0.9222,9020603
73000,0.0450,0.0422,0.9667,14.7,-0.9103,9134724
74000,0.0550,0.0424,0.9667,14.5,-0.8894,9250653
75000,0.0440,0.0424,0.9667,14.6,-0.9124,9363454
76000,0.0540,0.0426,0.9644,13.8,-0.8928,9476573
77000,0.0560,0.0427,0.9644,14.4,-0.8877,9590315
78000,0.0400,0.0427,0.9644,14.6,-0.9199,9702451
79000,0.0450,0.0427,0.9644,14.5,-0.9101,9815237
80000,0.0560,0.0429,0.9644,14.7,-0.8882,9926999
81000,0.0540,0.0430,0.9620,13.8,-0.8923,10039933
82000,0.0400,0.0430,0.9620,14.4,-0.9203,10152907
83000,0.0520,0.0431,0.9620,14.5,-0.8956,10264909
84000,0.0450,0.0431,0.9620,14.5,-0.9099,10377079
85000,0.0510,0.0432,0.9620,14.6,-0.8984,10489150
86000,0.0460,0.0432,0.9596,14.4,-0.9086,10598759
87000,0.0430,0.0432,0.9596,14.5,-0.9140,10710409
88000,0.0520,0.0433,0.9596,14.5,-0.8958,10821255
89000,0.0500,0.0434,0.9596,14.4,-0.8998,10932286
90000,0.0440,0.0434,0.9596,14.5,-0.9124,11044582
91000,0.0530,0.0435,0.9573,13.8,-0.8945,11154303
92000,0.0500,0.0436,0.9573,14.1,-0.9001,11265840
93000,0.0620,0.0438,0.9573,14.4,-0.8762,11375961
94000,0.0440,0.0438,0.9573,14.5,-0.9116,11486276
95000,0.0430,0.0438,0.9573,14.5,-0.9144,11599204
96000,0.0490,0.0439,0.9549,14.0,-0.9022,11708492
97000,0.0510,0.0439,0.9549,14.4,-0.8982,11819123
98000,0.0560,0.0441,0.9549,14.4,-0.8882,11927576
99000,0.0450,0.0441,0.9549,14.6,-0.9101,12038415
100000,0.0550,0.0442,0.9549,14.4,-0.8897,12148487
101000,0.0550,0.0443,0.9525,13.8,-0.8904,12257652
102000,0.0430,0.0443,0.9525,14.1,-0.9143,12367308
103000,0.0530,0.0444,0.9525,14.3,-0.8941,12475798
104000,0.0450,0.0444,0.9525,14.3,-0.9096,12587825
105000,0.0440,0.0444,0.9525,14.4,-0.9121,12698954
106000,0.0440,0.0444,0.9501,14.2,-0.9127,12806841
107000,0.0440,0.0444,0.9501,14.4,-0.9118,12916957
108000,0.0530,0.0445,0.9501,14.4,-0.8940,13025890
109000,0.0500,0.0445,0.9501,14.5,-0.9000,13135256
110000,0.0540,0.0446,0.9501,14.4,-0.8922,13246030
111000,0.0500,0.0446,0.9477,13.5,-0.9007,13353442
112000,0.0460,0.0447,0.9477,14.1,-0.9078,13463096
113000,0.0640,0.0448,0.9477,14.2,-0.8721,13571740
114000,0.0470,0.0449,0.9477,14.2,-0.9057,13679694
115000,0.0570,0.0450,0.9477,14.4,-0.8861,13787891
116000,0.0430,0.0450,0.9454,13.5,-0.9146,13895428
117000,0.0470,0.0450,0.9454,14.1,-0.9057,14001694
118000,0.0600,0.0451,0.9454,14.3,-0.8805,14109770
119000,0.0550,0.0452,0.9454,14.3,-0.8895,14218212
120000,0.0490,0.0452,0.9454,14.4,-0.9023,14322691
121000,0.0540,0.0453,0.9430,13.6,-0.8923,14428655
122000,0.0490,0.0453,0.9430,14.1,-0.9023,14538220
123000,0.0520,0.0454,0.9430,14.4,-0.8957,14642774
124000,0.0580,0.0455,0.9430,14.6,-0.8843,14750345
125000,0.0640,0.0456,0.9430,14.4,-0.8720,14857507
126000,0.0580,0.0457,0.9406,13.7,-0.8845,14964010
127000,0.0520,0.0457,0.9406,14.3,-0.8960,15067502
128000,0.0420,0.0457,0.9406,14.5,-0.9159,15172261
129000,0.0570,0.0458,0.9406,14.7,-0.8862,15278769
130000,0.0540,0.0459,0.9406,14.8,-0.8921,15386363
131000,0.0500,0.0459,0.9383,13.5,-0.9004,15492469
132000,0.0490,0.0460,0.9383,14.1,-0.9023,15598299
133000,0.0590,0.0461,0.9383,14.3,-0.8820,15704139
134000,0.0530,0.0461,0.9383,14.6,-0.8939,15809012
135000,0.0550,0.0462,0.9383,14.7,-0.8901,15914874
136000,0.0520,0.0462,0.9359,13.5,-0.8965,16019403
137000,0.0550,0.0463,0.9359,14.1,-0.8901,16126961
138000,0.0510,0.0463,0.9359,14.5,-0.8977,16231456
139000,0.0630,0.0465,0.9359,14.4,-0.8740,16337392
140000,0.0600,0.0466,0.9359,14.5,-0.8801,16442434
141000,0.0620,0.0467,0.9335,13.5,-0.8765,16546295
142000,0.0400,0.0467,0.9335,14.2,-0.9198,16651422
143000,0.0600,0.0468,0.9335,14.4,-0.8802,16755917
144000,0.0580,0.0468,0.9335,14.6,-0.8841,16859876
145000,0.0460,0.0468,0.9335,14.7,-0.9081,16964064
146000,0.0500,0.0468,0.9311,13.2,-0.9003,17066327
147000,0.0510,0.0469,0.9311,14.0,-0.8983,17170859
148000,0.0530,0.0469,0.9311,14.3,-0.8944,17274099
149000,0.0630,0.0470,0.9311,14.3,-0.8732,17376926
150000,0.0590,0.0471,0.9311,14.4,-0.8824,17482994
151000,0.0660,0.0472,0.9287,13.0,-0.8687,17586049
152000,0.0520,0.0473,0.9287,13.8,-0.8957,17688829
153000,0.0620,0.0474,0.9287,14.1,-0.8763,17794286
154000,0.0440,0.0473,0.9287,14.4,-0.9117,17897701
155000,0.0500,0.0473,0.9287,14.3,-0.9002,17999742
156000,0.0540,0.0473,0.9264,13.4,-0.8924,18100197
157000,0.0480,0.0474,0.9264,14.1,-0.9041,18202170
158000,0.0570,0.0474,0.9264,14.5,-0.8859,18304791
159000,0.0650,0.0475,0.9264,14.7,-0.8701,18408686
160000,0.0440,0.0475,0.9264,14.8,-0.9122,18510209
161000,0.0590,0.0476,0.9240,13.1,-0.8825,18609810
162000,0.0640,0.0477,0.9240,14.0,-0.8718,18714666
163000,0.0640,0.0478,0.9240,14.3,-0.8721,18817914
164000,0.0440,0.0478,0.9240,14.6,-0.9119,18920612
165000,0.0560,0.0478,0.9240,14.7,-0.8884,19022293
166000,0.0710,0.0479,0.9216,13.5,-0.8585,19123752
