Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.1000,0.1000,1.0000,15.4,-0.8007,36019
2000,0.0880,0.0940,1.0000,15.5,-0.8238,67984
3000,0.0810,0.0897,1.0000,15.4,-0.8379,97952
4000,0.0840,0.0882,1.0000,15.1,-0.8321,126545
5000,0.0870,0.0880,1.0000,15.1,-0.8260,153710
6000,0.0870,0.0878,0.9976,16.1,-0.8266,178969
7000,0.0920,0.0884,0.9976,16.1,-0.8160,203814
8000,0.0940,0.0891,0.9976,16.1,-0.8117,227983
9000,0.0790,0.0880,0.9976,15.9,-0.8422,252233
10000,0.0900,0.0882,0.9976,15.7,-0.8200,275776
11000,0.0820,0.0876,0.9952,15.3,-0.8365,298256
12000,0.0730,0.0864,0.9952,15.3,-0.8541,320647
13000,0.0870,0.0865,0.9952,15.3,-0.8258,342727
14000,0.0840,0.0863,0.9952,15.6,-0.8325,364801
15000,0.0940,0.0868,0.9952,15.6,-0.8117,386311
16000,0.1020,0.0877,0.9929,15.2,-0.7966,407353
17000,0.0940,0.0881,0.9929,15.0,-0.8122,427829
18000,0.0870,0.0881,0.9929,15.2,-0.8256,447723
19000,0.0930,0.0883,0.9929,15.1,-0.8142,467955
20000,0.0850,0.0882,0.9929,15.0,-0.8300,488241
21000,0.1030,0.0889,0.9905,15.5,-0.7946,507805
22000,0.0810,0.0885,0.9905,15.8,-0.8379,526535
23000,0.0900,0.0886,0.9905,15.8,-0.8199,545652
24000,0.0950,0.0889,0.9905,15.8,-0.8103,564781
25000,0.0780,0.0884,0.9905,15.7,-0.8441,583483
26000,0.0990,0.0888,0.9881,15.3,-0.8027,601904
27000,0.0910,0.0889,0.9881,15.5,-0.8180,620224
28000,0.0860,0.0888,0.9881,15.4,-0.8276,638629
29000,0.0920,0.0889,0.9881,15.6,-0.8161,657096
30000,0.0880,0.0889,0.9881,15.7,-0.8241,675287
31000,0.0960,0.0891,0.9858,15.7,-0.8087,693391
32000,0.0770,0.0887,0.9858,15.9,-0.8457,710943
33000,0.0950,0.0889,0.9858,15.6,-0.8099,728744
34000,0.0900,0.0890,0.9858,15.5,-0.8205,746779
35000,0.0760,0.0886,0.9858,15.4,-0.8478,764274
36000,0.1010,0.0889,0.9834,15.4,-0.7987,781768
37000,0.0800,0.0887,0.9834,15.7,-0.8400,798743
38000,0.0920,0.0888,0.9834,15.6,-0.8159,815997
39000,0.0880,0.0888,0.9834,15.8,-0.8243,833359
40000,0.0750,0.0884,0.9834,15.7,-0.8497,850053
41000,0.0940,0.0885,0.9810,15.0,-0.8126,866861
42000,0.0880,0.0885,0.9810,15.2,-0.8241,883383
43000,0.0950,0.0887,0.9810,15.1,-0.8096,900095
44000,0.0940,0.0888,0.9810,15.2,-0.8122,916807
45000,0.0860,0.0887,0.9810,15.3,-0.8280,932973
46000,0.0820,0.0886,0.9786,15.5,-0.8366,949201
47000,0.0790,0.0884,0.9786,15.9,-0.8421,964804
48000,0.0860,0.0883,0.9786,15.7,-0.8278,980804
49000,0.0810,0.0882,0.9786,15.6,-0.8379,997190
50000,0.0680,0.0878,0.9786,15.5,-0.8641,1013318
51000,0.0870,0.0878,0.9762,15.3,-0.8264,1029368
52000,0.0960,0.0879,0.9762,15.3,-0.8083,1044896
53000,0.0880,0.0879,0.9762,15.3,-0.8237,1061058
54000,0.0850,0.0879,0.9762,15.4,-0.8302,1077254
55000,0.0900,0.0879,0.9762,15.2,-0.8198,1093447
56000,0.0920,0.0880,0.9739,15.3,-0.8166,1109119
57000,0.0860,0.0879,0.9739,15.4,-0.8280,1124379
58000,0.0900,0.0880,0.9739,15.3,-0.8200,1139874
59000,0.0940,0.0881,0.9739,15.4,-0.8122,1155444
60000,0.0900,0.0881,0.9739,15.4,-0.8195,1170678
61000,0.0960,0.0882,0.9715,15.9,-0.8086,1186045
62000,0.0800,0.0881,0.9715,15.8,-0.8401,1201329
63000,0.0860,0.0881,0.9715,15.8,-0.8278,1216874
64000,0.0990,0.0882,0.9715,15.4,-0.8022,1232375
65000,0.0880,0.0882,0.9715,15.3,-0.8241,1247556
66000,0.0830,0.0881,0.9691,15.4,-0.8346,1262179
67000,0.1010,0.0883,0.9691,15.5,-0.7980,1276945
