Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0830,0.0830,1.0000,12.6,-0.8345,104574
2000,0.0900,0.0865,1.0000,12.8,-0.8202,192321
3000,0.0960,0.0897,1.0000,13.0,-0.8077,272125
4000,0.0900,0.0897,1.0000,13.3,-0.8201,345074
5000,0.0730,0.0864,1.0000,13.4,-0.8540,414975
6000,0.0920,0.0875,1.0000,13.4,-0.8156,480190
7000,0.0900,0.0879,1.0000,13.4,-0.8203,546093
8000,0.0940,0.0886,1.0000,13.4,-0.8123,609981
9000,0.0810,0.0878,1.0000,13.4,-0.8380,672444
10000,0.0880,0.0878,1.0000,13.3,-0.8239,732657
11000,0.0870,0.0877,1.0000,13.4,-0.8262,793499
12000,0.0960,0.0884,1.0000,13.3,-0.8081,852411
13000,0.0900,0.0885,1.0000,13.4,-0.8199,909739
14000,0.0740,0.0875,1.0000,13.4,-0.8517,965462
15000,0.0830,0.0872,1.0000,13.3,-0.8343,1021138
16000,0.0870,0.0872,1.0000,13.3,-0.8260,1073908
17000,0.0810,0.0868,1.0000,13.3,-0.8377,1128454
18000,0.1080,0.0880,1.0000,13.2,-0.7840,1181735
19000,0.0930,0.0883,0.9915,13.5,-0.8145,788897
20000,0.0820,0.0880,0.9915,13.6,-0.8361,843210
21000,0.1040,0.0887,0.9915,13.6,-0.7920,895690
22000,0.0950,0.0890,0.9915,13.7,-0.8099,948106
23000,0.0960,0.0893,0.9915,13.7,-0.8081,999627
24000,0.0790,0.0889,0.9915,13.7,-0.8421,1049857
25000,0.0870,0.0888,0.9915,13.6,-0.8260,1102329
26000,0.0780,0.0884,0.9915,13.5,-0.8439,1151996
27000,0.0860,0.0883,0.9915,13.5,-0.8280,1202893
28000,0.0900,0.0884,0.9915,13.4,-0.8197,1251446
29000,0.1010,0.0888,0.9867,13.2,-0.7985,1299121
30000,0.0940,0.0890,0.9867,13.3,-0.8121,1346470
31000,0.0930,0.0891,0.9867,13.3,-0.8138,1392271
32000,0.0730,0.0886,0.9867,13.5,-0.8541,1438258
33000,0.1040,0.0891,0.9867,13.5,-0.7915,1483537
34000,0.0830,0.0889,0.9867,13.4,-0.8346,1527822
35000,0.0890,0.0889,0.9867,13.4,-0.8221,1573505
36000,0.0890,0.0889,0.9867,13.3,-0.8221,1616712
37000,0.0940,0.0891,0.9867,13.4,-0.8119,1661668
38000,0.0950,0.0892,0.9867,13.3,-0.8099,1704980
39000,0.0920,0.0893,0.9819,13.6,-0.8164,1748202
40000,0.0780,0.0890,0.9819,13.6,-0.8442,1790980
41000,0.1060,0.0894,0.9819,13.5,-0.7878,1832030
42000,0.0750,0.0891,0.9819,13.6,-0.8502,1874112
43000,0.0910,0.0891,0.9819,13.6,-0.8178,1914067
44000,0.0780,0.0889,0.9819,13.6,-0.8439,1954745
45000,0.0930,0.0890,0.9819,13.6,-0.8143,1997599
46000,0.0760,0.0887,0.9819,13.6,-0.8478,2038419
47000,0.0920,0.0888,0.9819,13.6,-0.8161,2080097
48000,0.0880,0.0888,0.9819,13.5,-0.8242,2120949
49000,0.0990,0.0890,0.9772,13.6,-0.8026,2161071
50000,0.0880,0.0890,0.9772,13.7,-0.8238,2201294
51000,0.1030,0.0893,0.9772,13.8,-0.7940,2239773
52000,0.1080,0.0896,0.9772,13.9,-0.7841,2279269
53000,0.0840,0.0895,0.9772,13.8,-0.8317,2318478
54000,0.0960,0.0896,0.9772,13.8,-0.8080,2357107
55000,0.1090,0.0900,0.9772,13.8,-0.7822,2397626
56000,0.0910,0.0900,0.9772,13.7,-0.8183,2436132
57000,0.0950,0.0901,0.9772,13.8,-0.8099,2475699
58000,0.0820,0.0899,0.9772,13.7,-0.8358,2514236
59000,0.1060,0.0902,0.9725,13.3,-0.7885,2552405
60000,0.0930,0.0902,0.9725,13.6,-0.8141,2590981
61000,0.0960,0.0903,0.9725,13.7,-0.8080,2627907
62000,0.1000,0.0905,0.9725,13.9,-0.8000,2665138
63000,0.0970,0.0906,0.9725,13.9,-0.8061,2701203
64000,0.1020,0.0907,0.9725,13.9,-0.7960,2738140
65000,0.0980,0.0909,0.9725,13.8,-0.8037,2775360
66000,0.0820,0.0907,0.9725,13.9,-0.8362,2810626
67000,0.0870,0.0907,0.9725,13.8,-0.8260,2848171
68000,0.0910,0.0907,0.9725,13.7,-0.8178,2884499
69000,0.0970,0.0908,0.9677,13.6,-0.8066,2920801
70000,0.0990,0.0909,0.9677,13.8,-0.8019,2957499
71000,0.0810,0.0908,0.9677,13.8,-0.8379,2993433
72000,0.0920,0.0908,0.9677,13.9,-0.8162,3027650
73000,0.0920,0.0908,0.9677,13.9,-0.8159,3062681
74000,0.0890,0.0908,0.9677,13.9,-0.8219,3096746
75000,0.1040,0.0910,0.9677,13.9,-0.7920,3133122
76000,0.0940,0.0910,0.9677,14.0,-0.8121,3167695
77000,0.0920,0.0910,0.9677,13.9,-0.8162,3202409
78000,0.0850,0.0909,0.9677,13.8,-0.8299,3235823
79000,0.1060,0.0911,0.9629,13.9,-0.7884,3270449
80000,0.0820,0.0910,0.9629,13.9,-0.8361,3304436
81000,0.0920,0.0910,0.9629,13.8,-0.8159,3338669
82000,0.1070,0.0912,0.9629,13.9,-0.7860,3372793
83000,0.1130,0.0914,0.9629,14.0,-0.7738,3406853
84000,0.1090,0.0917,0.9629,13.9,-0.7821,3440622
85000,0.0890,0.0916,0.9629,13.8,-0.8222,3474029
86000,0.0920,0.0916,0.9629,13.9,-0.8161,3507898
87000,0.0940,0.0917,0.9629,13.8,-0.8119,3542471
88000,0.0910,0.0917,0.9629,13.7,-0.8177,3577118
89000,0.1000,0.0918,0.9582,13.3,-0.8005,3611386
90000,0.0800,0.0917,0.9582,13.7,-0.8400,3645350
91000,0.1010,0.0918,0.9582,13.7,-0.7979,3679654
92000,0.1010,0.0919,0.9582,13.9,-0.7981,3713654
93000,0.0980,0.0919,0.9582,13.9,-0.8039,3746203
94000,0.0970,0.0920,0.9582,13.9,-0.8061,3779406
95000,0.0940,0.0920,0.9582,13.8,-0.8120,3813044
96000,0.0960,0.0921,0.9582,13.7,-0.8082,3846220
97000,0.1070,0.0922,0.9582,13.8,-0.7858,3879696
98000,0.1080,0.0924,0.9582,13.7,-0.7841,3912675
99000,0.1220,0.0927,0.9535,13.5,-0.7567,3945962
100000,0.0870,0.0926,0.9535,13.7,-0.8257,3979678
101000,0.1100,0.0928,0.9535,13.8,-0.7801,4012099
102000,0.1080,0.0930,0.9535,13.8,-0.7840,4044943
103000,0.1070,0.0931,0.9535,13.9,-0.7861,4077466
104000,0.0970,0.0931,0.9535,13.9,-0.8061,4108719
105000,0.1010,0.0932,0.9535,13.7,-0.7976,4142195
106000,0.1000,0.0933,0.9535,13.8,-0.8002,4173006
107000,0.0980,0.0933,0.9535,13.7,-0.8036,4205184
108000,0.0890,0.0933,0.9535,13.7,-0.8226,4235547
109000,0.0910,0.0933,0.9487,13.6,-0.8184,4267052
110000,0.1060,0.0934,0.9487,13.6,-0.7883,4299112
111000,0.0960,0.0934,0.9487,13.7,-0.8078,4330356
112000,0.0870,0.0934,0.9487,13.8,-0.8258,4361540
113000,0.0950,0.0934,0.9487,13.8,-0.8104,4392682
114000,0.0980,0.0934,0.9487,13.8,-0.8039,4422483
115000,0.0960,0.0934,0.9487,13.7,-0.8083,4454439
116000,0.0890,0.0934,0.9487,13.8,-0.8218,4485481
117000,0.0920,0.0934,0.9487,13.7,-0.8160,4516160
118000,0.1000,0.0934,0.9487,13.6,-0.8000,4547799
119000,0.1000,0.0935,0.9439,13.6,-0.8006,4579270
120000,0.0840,0.0934,0.9439,13.8,-0.8317,4611163
121000,0.1160,0.0936,0.9439,13.8,-0.7680,4641278
122000,0.1010,0.0936,0.9439,14.0,-0.7981,4672308
123000,0.1160,0.0938,0.9439,14.0,-0.7680,4702257
124000,0.0920,0.0938,0.9439,13.9,-0.8163,4732534
125000,0.0910,0.0938,0.9439,13.8,-0.8177,4763102
126000,0.0890,0.0937,0.9439,14.0,-0.8221,4793016
127000,0.0910,0.0937,0.9439,13.9,-0.8182,4824137
128000,0.1100,0.0938,0.9439,13.8,-0.7802,4854409
129000,0.1090,0.0939,0.9392,13.2,-0.7826,4886558
130000,0.1020,0.0940,0.9392,13.5,-0.7960,4916333
131000,0.1060,0.0941,0.9392,13.6,-0.7879,4946815
132000,0.1020,0.0941,0.9392,13.9,-0.7958,4977450
133000,0.0900,0.0941,0.9392,13.9,-0.8203,5007102
134000,0.0960,0.0941,0.9392,13.8,-0.8076,5036700
135000,0.1080,0.0942,0.9392,13.8,-0.7841,5068409
136000,0.1080,0.0943,0.9392,13.9,-0.7844,5097546
137000,0.1060,0.0944,0.9392,13.8,-0.7878,5127469
138000,0.1160,0.0946,0.9392,13.7,-0.7680,5158840
139000,0.0990,0.0946,0.9345,13.3,-0.8024,5188561
140000,0.1090,0.0947,0.9345,13.5,-0.7822,5219806
141000,0.1160,0.0949,0.9345,13.6,-0.7678,5249472
142000,0.0990,0.0949,0.9345,13.7,-0.8019,5278687
143000,0.0950,0.0949,0.9345,13.8,-0.8103,5308034
144000,0.0820,0.0948,0.9345,13.7,-0.8359,5335969
145000,0.1130,0.0950,0.9345,13.7,-0.7735,5365393
146000,0.0950,0.0950,0.9345,13.7,-0.8106,5393988
147000,0.0930,0.0949,0.9345,13.7,-0.8141,5424335
148000,0.1010,0.0950,0.9345,13.6,-0.7979,5453485
149000,0.0980,0.0950,0.9297,13.3,-0.8045,5482455
150000,0.1050,0.0951,0.9297,13.6,-0.7899,5511480
151000,0.1260,0.0953,0.9297,13.7,-0.7480,5539999
152000,0.1100,0.0954,0.9297,13.9,-0.7801,5568738
