Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0340,0.0340,1.0000,20.3,-0.9327,28604
2000,0.0240,0.0290,1.0000,19.8,-0.9520,57604
3000,0.0320,0.0300,1.0000,18.9,-0.9361,86133
4000,0.0320,0.0305,1.0000,18.5,-0.9359,114924
5000,0.0330,0.0310,1.0000,17.8,-0.9340,142931
6000,0.0440,0.0332,0.9905,22.5,-0.9124,171319
7000,0.0380,0.0339,0.9905,21.9,-0.9244,199752
8000,0.0280,0.0331,0.9905,20.8,-0.9440,227530
9000,0.0430,0.0342,0.9905,19.7,-0.9140,256087
10000,0.0350,0.0343,0.9905,18.2,-0.9298,283680
11000,0.0300,0.0339,0.9810,21.0,-0.9407,311268
12000,0.0370,0.0342,0.9810,20.6,-0.9260,339226
13000,0.0370,0.0344,0.9810,18.0,-0.9260,366808
