Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0390,0.0390,1.0000,20.2,-0.9224,146154
2000,0.0240,0.0315,1.0000,19.8,-0.9522,293948
3000,0.0400,0.0343,1.0000,19.1,-0.9201,439819
4000,0.0260,0.0323,1.0000,18.4,-0.9479,587671
5000,0.0410,0.0340,1.0000,17.6,-0.9180,729965
6000,0.0440,0.0357,0.9905,22.7,-0.9125,860698
7000,0.0320,0.0351,0.9905,22.1,-0.9360,994936
8000,0.0390,0.0356,0.9905,21.2,-0.9221,1127693
9000,0.0420,0.0363,0.9905,20.1,-0.9161,1261464
10000,0.0320,0.0359,0.9905,18.0,-0.9357,1390907
11000,0.0480,0.0370,0.9810,22.0,-0.9046,1518155
12000,0.0480,0.0379,0.9810,20.8,-0.9041,1648840
13000,0.0460,0.0385,0.9810,17.7,-0.9078,1778068
