Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0810,0.0810,1.0000,21.1,-0.8385,31433
2000,0.0880,0.0845,1.0000,21.2,-0.8242,58208
3000,0.0900,0.0863,1.0000,20.4,-0.8194,83087
4000,0.0870,0.0865,1.0000,19.4,-0.8263,106074
5000,0.0720,0.0836,1.0000,18.3,-0.8561,127043
6000,0.0950,0.0855,0.9905,23.2,-0.8105,147371
7000,0.0740,0.0839,0.9905,22.8,-0.8518,167236
8000,0.0820,0.0836,0.9905,21.8,-0.8364,186525
9000,0.0740,0.0826,0.9905,20.5,-0.8520,205581
10000,0.0990,0.0842,0.9905,17.9,-0.8019,223491
11000,0.0810,0.0839,0.9810,21.7,-0.8384,241489
12000,0.0770,0.0833,0.9810,21.2,-0.8460,259306
13000,0.0820,0.0832,0.9810,18.2,-0.8361,276114
