Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0850,0.0850,1.0000,21.2,-0.8306,88530
2000,0.0700,0.0775,1.0000,21.2,-0.8600,159168
3000,0.0790,0.0783,1.0000,20.6,-0.8420,221719
4000,0.0580,0.0735,1.0000,19.7,-0.8841,280231
5000,0.0720,0.0732,1.0000,18.8,-0.8561,333961
6000,0.0810,0.0745,0.9905,22.1,-0.8386,381884
7000,0.0890,0.0766,0.9905,22.4,-0.8220,428604
8000,0.0880,0.0780,0.9905,21.9,-0.8239,473497
9000,0.0880,0.0791,0.9905,20.8,-0.8241,518276
10000,0.0770,0.0789,0.9905,19.1,-0.8459,558781
11000,0.0760,0.0786,0.9810,18.0,-0.8484,599108
12000,0.0990,0.0803,0.9810,20.1,-0.8023,638692
13000,0.0910,0.0812,0.9810,19.8,-0.8177,676179
14000,0.0810,0.0811,0.9810,18.9,-0.8380,716185
