Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0320,0.0320,1.0000,5.8,-0.9366,147541
2000,0.0330,0.0325,0.9981,8.8,-0.9345,148587
3000,0.0360,0.0337,0.9981,9.2,-0.9279,295677
4000,0.0320,0.0333,0.9981,9.3,-0.9360,440881
5000,0.0400,0.0348,0.9924,9.8,-0.9207,583400
6000,0.0530,0.0380,0.9924,9.6,-0.8935,729428
7000,0.0330,0.0373,0.9924,9.5,-0.9342,876747
8000,0.0290,0.0362,0.9867,9.3,-0.9425,1023560
9000,0.0230,0.0348,0.9867,9.6,-0.9540,1165450
10000,0.0410,0.0354,0.9867,9.7,-0.9179,1309062
11000,0.0410,0.0359,0.9810,9.4,-0.9186,1453494
12000,0.0340,0.0357,0.9791,8.9,-0.9327,1451769
13000,0.0390,0.0360,0.9791,9.3,-0.9216,1594517
14000,0.0430,0.0365,0.9791,9.3,-0.9143,1738966
15000,0.0340,0.0363,0.9734,9.6,-0.9325,1881335
16000,0.0450,0.0369,0.9734,9.7,-0.9102,2020855
17000,0.0290,0.0364,0.9734,9.7,-0.9418,2162354
18000,0.0360,0.0364,0.9677,9.4,-0.9284,2305000
19000,0.0450,0.0368,0.9677,9.6,-0.9103,2444560
20000,0.0300,0.0365,0.9677,9.6,-0.9399,2586293
21000,0.0290,0.0361,0.9620,9.5,-0.9423,2725259
22000,0.0360,0.0361,0.9620,9.7,-0.9284,2862002
23000,0.0410,0.0363,0.9620,9.6,-0.9177,3005318
24000,0.0450,0.0367,0.9563,9.4,-0.9105,3144746
25000,0.0350,0.0366,0.9563,9.6,-0.9299,3281302
26000,0.0480,0.0370,0.9563,9.8,-0.9041,3418422
27000,0.0370,0.0370,0.9506,9.4,-0.9267,3556288
28000,0.0430,0.0372,0.9506,9.6,-0.9139,3693667
29000,0.0370,0.0372,0.9506,9.7,-0.9258,3830905
30000,0.0380,0.0372,0.9449,9.3,-0.9247,3967866
31000,0.0480,0.0376,0.9449,9.5,-0.9039,4106792
32000,0.0430,0.0377,0.9449,9.5,-0.9138,4244303
33000,0.0570,0.0383,0.9392,9.2,-0.8866,4380796
34000,0.0500,0.0386,0.9392,9.5,-0.9002,4515292
35000,0.0500,0.0389,0.9392,9.5,-0.8995,4653280
36000,0.0540,0.0393,0.9335,9.3,-0.8925,4789134
37000,0.0460,0.0395,0.9335,9.5,-0.9082,4924685
38000,0.0500,0.0398,0.9335,9.6,-0.8998,5060462
39000,0.0490,0.0400,0.9278,9.4,-0.9027,5194962
40000,0.0440,0.0401,0.9278,9.5,-0.9122,5331387
41000,0.0480,0.0403,0.9278,9.5,-0.9037,5466363
42000,0.0460,0.0404,0.9221,9.1,-0.9084,5603496
43000,0.0340,0.0403,0.9221,9.3,-0.9321,5735779
44000,0.0690,0.0409,0.9221,9.4,-0.8620,5870323
45000,0.0570,0.0413,0.9164,9.0,-0.8868,6004267
46000,0.0430,0.0413,0.9164,9.3,-0.9138,6137374
47000,0.0410,0.0413,0.9164,9.4,-0.9181,6270296
48000,0.0420,0.0413,0.9107,9.0,-0.9166,6405817
49000,0.0540,0.0416,0.9107,9.4,-0.8918,6537949
50000,0.0470,0.0417,0.9107,9.6,-0.9061,6667474
51000,0.0670,0.0422,0.9050,9.0,-0.8668,6801199
52000,0.0650,0.0426,0.9050,9.3,-0.8697,6934289
53000,0.0420,0.0426,0.9050,9.5,-0.9159,7068060
54000,0.0560,0.0429,0.8993,9.0,-0.8886,7199158
55000,0.0550,0.0431,0.8993,9.4,-0.8901,7326675
56000,0.0530,0.0433,0.8993,9.5,-0.8941,7458222
57000,0.0440,0.0433,0.8936,9.2,-0.9126,7587535
58000,0.0510,0.0435,0.8936,9.6,-0.8982,7717758
59000,0.0670,0.0439,0.8936,9.7,-0.8657,7849500
60000,0.0760,0.0444,0.8879,9.3,-0.8486,7977505
