Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0940,0.0940,1.0000,6.1,-0.8126,31759
2000,0.0750,0.0845,0.9981,9.6,-0.8505,31403
3000,0.0840,0.0843,0.9981,9.9,-0.8319,57882
4000,0.0800,0.0833,0.9981,9.8,-0.8402,82997
5000,0.0850,0.0836,0.9924,10.0,-0.8304,106117
6000,0.0900,0.0847,0.9924,10.2,-0.8200,127431
7000,0.0690,0.0824,0.9924,10.2,-0.8617,147932
8000,0.0870,0.0830,0.9867,10.0,-0.8269,167652
9000,0.0760,0.0822,0.9867,10.2,-0.8477,187059
10000,0.0780,0.0818,0.9867,10.2,-0.8436,206181
11000,0.0700,0.0807,0.9810,10.4,-0.8608,224421
12000,0.0670,0.0797,0.9810,10.2,-0.8657,243046
13000,0.0760,0.0795,0.9772,9.5,-0.8485,224472
14000,0.0850,0.0799,0.9772,9.7,-0.8302,242641
15000,0.0800,0.0799,0.9772,9.7,-0.8398,260282
16000,0.0890,0.0805,0.9715,9.7,-0.8227,277695
17000,0.0760,0.0802,0.9715,9.8,-0.8477,294664
18000,0.0760,0.0800,0.9715,9.8,-0.8480,311591
19000,0.0820,0.0802,0.9658,10.0,-0.8366,327875
20000,0.0850,0.0804,0.9658,9.9,-0.8297,344628
21000,0.0850,0.0806,0.9658,9.9,-0.8305,360613
22000,0.0910,0.0811,0.9601,9.7,-0.8187,376632
23000,0.0710,0.0807,0.9601,9.8,-0.8581,392473
24000,0.0890,0.0810,0.9601,9.9,-0.8215,407368
25000,0.0940,0.0815,0.9544,9.9,-0.8126,422483
26000,0.0630,0.0808,0.9544,9.9,-0.8738,437602
27000,0.0860,0.0811,0.9544,9.9,-0.8282,452328
28000,0.0770,0.0810,0.9487,9.9,-0.8465,467041
29000,0.0790,0.0809,0.9487,9.8,-0.8420,481657
30000,0.0810,0.0809,0.9487,9.8,-0.8382,496164
31000,0.0920,0.0813,0.9430,9.6,-0.8165,510619
32000,0.0930,0.0816,0.9430,9.7,-0.8140,524612
33000,0.0880,0.0818,0.9430,9.7,-0.8239,538702
34000,0.0900,0.0820,0.9373,9.7,-0.8205,553035
35000,0.0910,0.0823,0.9373,9.7,-0.8176,567239
36000,0.0770,0.0821,0.9373,9.7,-0.8463,580926
37000,0.0940,0.0824,0.9316,9.6,-0.8125,594986
38000,0.0900,0.0827,0.9316,9.7,-0.8200,608980
39000,0.0810,0.0826,0.9316,9.7,-0.8380,622698
40000,0.0860,0.0827,0.9259,9.7,-0.8284,636087
41000,0.1020,0.0831,0.9259,9.8,-0.7960,649177
42000,0.0910,0.0833,0.9259,9.7,-0.8184,662521
43000,0.1040,0.0838,0.9202,9.7,-0.7926,675752
44000,0.0950,0.0840,0.9202,9.6,-0.8100,688436
45000,0.1080,0.0846,0.9202,9.6,-0.7841,701254
46000,0.1100,0.0852,0.9145,9.8,-0.7807,713950
47000,0.0920,0.0853,0.9145,9.7,-0.8159,726752
48000,0.0880,0.0854,0.9145,9.7,-0.8236,739856
49000,0.1040,0.0858,0.9088,9.5,-0.7925,752889
50000,0.0960,0.0860,0.9088,9.8,-0.8080,765337
51000,0.1120,0.0865,0.9088,9.7,-0.7760,778002
52000,0.0990,0.0867,0.9031,9.8,-0.8026,790231
53000,0.0920,0.0868,0.9031,9.8,-0.8159,802854
54000,0.1070,0.0872,0.9031,9.7,-0.7859,815164
55000,0.0900,0.0873,0.8974,9.7,-0.8205,827349
56000,0.0810,0.0871,0.8974,9.6,-0.8379,839792
57000,0.0970,0.0873,0.8974,9.6,-0.8062,851734
58000,0.1080,0.0877,0.8917,9.6,-0.7840,863361
59000,0.1010,0.0879,0.8917,9.6,-0.7986,875605
60000,0.0850,0.0878,0.8917,9.6,-0.8296,887715
61000,0.1120,0.0882,0.8860,10.1,-0.7756,899215
62000,0.0970,0.0883,0.8860,9.9,-0.8070,911060
63000,0.1110,0.0887,0.8860,9.9,-0.7781,922853
64000,0.0940,0.0888,0.8803,10.0,-0.8125,934496
65000,0.0990,0.0890,0.8803,9.9,-0.8021,946395
66000,0.0890,0.0890,0.8803,9.8,-0.8219,957701
67000,0.0990,0.0891,0.8746,9.9,-0.8022,969392
68000,0.1220,0.0896,0.8746,10.0,-0.7563,980637
69000,0.1080,0.0899,0.8746,9.9,-0.7839,991810
70000,0.0820,0.0898,0.8689,9.8,-0.8366,1002990
71000,0.0950,0.0899,0.8689,9.9,-0.8099,1014414
72000,0.0950,0.0899,0.8689,9.9,-0.8100,1025888
73000,0.0970,0.0900,0.8632,9.6,-0.8065,1037403
74000,0.1010,0.0901,0.8632,9.8,-0.7982,1048580
75000,0.0890,0.0901,0.8632,9.8,-0.8221,1059486
76000,0.1060,0.0903,0.8575,9.8,-0.7878,1070642
77000,0.1310,0.0908,0.8575,9.8,-0.7386,1081607
78000,0.0970,0.0909,0.8575,9.6,-0.8062,1092909
79000,0.1010,0.0910,0.8518,9.8,-0.7986,1104090
