Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0830,0.0840,1.0000,6.2,-0.8346,89621
2000,0.0750,0.0800,0.9981,9.5,-0.8504,87947
3000,0.0690,0.0767,0.9981,9.8,-0.8618,158399
4000,0.0740,0.0760,0.9981,9.9,-0.8524,220933
5000,0.0590,0.0726,0.9924,10.2,-0.8820,277231
6000,0.0720,0.0725,0.9924,10.1,-0.8565,330930
7000,0.0760,0.0730,0.9924,10.1,-0.8477,382050
8000,0.0920,0.0754,0.9867,9.9,-0.8164,431135
9000,0.0860,0.0766,0.9867,10.1,-0.8280,477349
10000,0.0840,0.0774,0.9867,10.1,-0.8320,523054
11000,0.0830,0.0779,0.9810,10.2,-0.8344,567371
12000,0.0700,0.0772,0.9810,10.1,-0.8600,609593
13000,0.0840,0.0777,0.9772,9.2,-0.8324,566840
14000,0.0810,0.0780,0.9772,9.7,-0.8381,610649
15000,0.0810,0.0782,0.9772,9.7,-0.8380,653035
16000,0.0780,0.0782,0.9715,9.9,-0.8446,692902
17000,0.0870,0.0787,0.9715,9.9,-0.8260,732935
18000,0.0780,0.0787,0.9715,9.9,-0.8439,772586
19000,0.0780,0.0787,0.9658,9.8,-0.8442,810921
20000,0.0820,0.0789,0.9658,9.9,-0.8361,849236
21000,0.0920,0.0795,0.9658,9.9,-0.8162,885416
22000,0.1110,0.0810,0.9601,9.5,-0.7786,920885
23000,0.0810,0.0810,0.9601,9.6,-0.8381,955015
24000,0.1000,0.0818,0.9601,9.7,-0.7999,989769
25000,0.0680,0.0812,0.9544,10.0,-0.8646,1024550
26000,0.0880,0.0815,0.9544,10.0,-0.8231,1057677
27000,0.0940,0.0820,0.9544,10.0,-0.8128,1092293
28000,0.1040,0.0828,0.9487,9.7,-0.7922,1124535
29000,0.1010,0.0834,0.9487,9.9,-0.7982,1156577
30000,0.0840,0.0835,0.9487,9.9,-0.8321,1187930
31000,0.0780,0.0833,0.9430,9.7,-0.8444,1220116
32000,0.0920,0.0836,0.9430,9.7,-0.8163,1251518
33000,0.0860,0.0837,0.9430,9.8,-0.8280,1282998
34000,0.0810,0.0836,0.9373,9.7,-0.8383,1313489
35000,0.0980,0.0840,0.9373,9.8,-0.8041,1343609
36000,0.1040,0.0846,0.9373,9.7,-0.7918,1374744
37000,0.0980,0.0850,0.9316,9.9,-0.8047,1403514
38000,0.0880,0.0851,0.9316,9.7,-0.8238,1434616
39000,0.1040,0.0856,0.9316,9.7,-0.7918,1464229
40000,0.1000,0.0859,0.9259,9.7,-0.8004,1493223
41000,0.1100,0.0865,0.9259,9.8,-0.7795,1522790
42000,0.0940,0.0867,0.9259,9.7,-0.8125,1551383
43000,0.1070,0.0872,0.9202,9.8,-0.7865,1579546
44000,0.0910,0.0873,0.9202,9.8,-0.8180,1606961
45000,0.0880,0.0873,0.9202,9.8,-0.8235,1634839
46000,0.1060,0.0877,0.9145,9.7,-0.7883,1663020
47000,0.0900,0.0878,0.9145,9.9,-0.8202,1691037
48000,0.0940,0.0879,0.9145,9.8,-0.8118,1718686
49000,0.1040,0.0882,0.9088,9.5,-0.7925,1746391
50000,0.1040,0.0885,0.9088,9.8,-0.7921,1772693
51000,0.0930,0.0886,0.9088,9.8,-0.8133,1800185
52000,0.0980,0.0888,0.9031,9.7,-0.8046,1827138
53000,0.1090,0.0892,0.9031,9.8,-0.7820,1853222
54000,0.1060,0.0895,0.9031,9.8,-0.7879,1879442
55000,0.1150,0.0900,0.8974,9.8,-0.7707,1906626
56000,0.1200,0.0905,0.8974,9.8,-0.7600,1933071
57000,0.0960,0.0906,0.8974,9.8,-0.8076,1958900
58000,0.0930,0.0907,0.8917,9.8,-0.8147,1984337
59000,0.1290,0.0913,0.8917,9.7,-0.7419,2010241
60000,0.1250,0.0919,0.8917,9.8,-0.7500,2035461
61000,0.1140,0.0923,0.8860,10.1,-0.7719,2060298
62000,0.0960,0.0923,0.8860,10.1,-0.8086,2084890
63000,0.1060,0.0926,0.8860,10.2,-0.7880,2110094
64000,0.1030,0.0928,0.8803,10.1,-0.7946,2135280
65000,0.1030,0.0929,0.8803,10.1,-0.7937,2160723
66000,0.1140,0.0932,0.8803,10.0,-0.7723,2184591
67000,0.1060,0.0934,0.8746,10.0,-0.7887,2209646
68000,0.1110,0.0937,0.8746,10.0,-0.7770,2234319
69000,0.1120,0.0939,0.8746,9.9,-0.7767,2258367
70000,0.1280,0.0944,0.8689,9.9,-0.7446,2283272
71000,0.1150,0.0947,0.8689,9.9,-0.7702,2307516
72000,0.0870,0.0946,0.8689,10.0,-0.8257,2331569
73000,0.1150,0.0949,0.8632,9.9,-0.7705,2354857
74000,0.1220,0.0953,0.8632,10.1,-0.7562,2378494
75000,0.1370,0.0958,0.8632,10.0,-0.7258,2403078
76000,0.0990,0.0958,0.8575,9.8,-0.8027,2426358
77000,0.1110,0.0960,0.8575,10.0,-0.7779,2449766
78000,0.1170,0.0963,0.8575,10.0,-0.7662,2473180
79000,0.1030,0.0964,0.8518,9.9,-0.7945,2496698
80000,0.1420,0.0970,0.8518,10.1,-0.7153,2519428
81000,0.1190,0.0972,0.8518,10.0,-0.7628,2543792
82000,0.1190,0.0975,0.8461,9.6,-0.7627,2567297
83000,0.1320,0.0979,0.8461,9.8,-0.7359,2590547
84000,0.1030,0.0980,0.8461,9.9,-0.7937,2613959
85000,0.1220,0.0983,0.8404,9.9,-0.7566,2637206
86000,0.1310,0.0987,0.8404,9.9,-0.7378,2660111
87000,0.0980,0.0987,0.8404,10.0,-0.8041,2682628
88000,0.1100,0.0988,0.8347,9.7,-0.7806,2706224
89000,0.1230,0.0991,0.8347,9.8,-0.7537,2728896
90000,0.1250,0.0994,0.8347,9.9,-0.7502,2751141
91000,0.1230,0.0997,0.8290,9.6,-0.7545,2774078
92000,0.1280,0.1000,0.8290,9.9,-0.7440,2795917
93000,0.1130,0.1001,0.8290,9.9,-0.7738,2818004
94000,0.1260,0.1004,0.8233,9.8,-0.7485,2839487
95000,0.1320,0.1007,0.8233,9.8,-0.7360,2861485
96000,0.1120,0.1008,0.8233,9.9,-0.7761,2883533
97000,0.1250,0.1011,0.8176,9.6,-0.7508,2904283
98000,0.1210,0.1013,0.8176,9.8,-0.7575,2925759
99000,0.1470,0.1017,0.8176,9.8,-0.7064,2948522
100000,0.1250,0.1019,0.8119,9.8,-0.7507,2969815
101000,0.1250,0.1022,0.8119,9.9,-0.7498,2990819
102000,0.1300,0.1025,0.8119,9.9,-0.7401,3012648
103000,0.1250,0.1027,0.8062,9.8,-0.7505,3033066
104000,0.1470,0.1031,0.8062,9.9,-0.7062,3054292
105000,0.1320,0.1034,0.8062,9.9,-0.7360,3074894
106000,0.1250,0.1036,0.8005,9.9,-0.7505,3095776
107000,0.1370,0.1039,0.8005,10.0,-0.7260,3115758
108000,0.1270,0.1041,0.8005,10.2,-0.7455,3136190
109000,0.1280,0.1043,0.7948,9.8,-0.7443,3156729
110000,0.1550,0.1048,0.7948,9.9,-0.6905,3177679
111000,0.1260,0.1050,0.7948,9.9,-0.7474,3198017
112000,0.1310,0.1052,0.7891,9.7,-0.7383,3219391
113000,0.1490,0.1056,0.7891,9.9,-0.7021,3239819
114000,0.1480,0.1060,0.7891,9.9,-0.7039,3260530
115000,0.1330,0.1062,0.7834,9.7,-0.7346,3281143
116000,0.1340,0.1065,0.7834,9.8,-0.7316,3302596
117000,0.1480,0.1068,0.7834,9.8,-0.7038,3322903
118000,0.1390,0.1071,0.7777,10.0,-0.7224,3343328
119000,0.1390,0.1074,0.7777,9.9,-0.7221,3364121
120000,0.1150,0.1074,0.7777,10.0,-0.7699,3383614
121000,0.1190,0.1075,0.7720,9.9,-0.7624,3404269
122000,0.1390,0.1078,0.7720,10.0,-0.7222,3423101
123000,0.1410,0.1080,0.7720,10.0,-0.7178,3442836
124000,0.1380,0.1082,0.7663,9.7,-0.7247,3463189
125000,0.1460,0.1086,0.7663,9.9,-0.7077,3483157
126000,0.1380,0.1088,0.7663,10.0,-0.7242,3503119
127000,0.1520,0.1091,0.7606,9.7,-0.6965,3523229
128000,0.1490,0.1095,0.7606,9.9,-0.7021,3542963
129000,0.1460,0.1097,0.7606,9.9,-0.7078,3562839
130000,0.1200,0.1098,0.7549,9.9,-0.7605,3582344
131000,0.1550,0.1101,0.7549,10.0,-0.6899,3601987
132000,0.1620,0.1105,0.7549,10.1,-0.6760,3620477
133000,0.1570,0.1108,0.7492,9.4,-0.6866,3640680
134000,0.1390,0.1111,0.7492,9.7,-0.7217,3659447
135000,0.1350,0.1112,0.7492,9.8,-0.7301,3679170
136000,0.1470,0.1115,0.7435,9.9,-0.7065,3698500
137000,0.1560,0.1118,0.7435,9.9,-0.6880,3717508
138000,0.1490,0.1121,0.7435,10.0,-0.7022,3736497
139000,0.1450,0.1123,0.7378,9.6,-0.7103,3755620
140000,0.1630,0.1127,0.7378,9.8,-0.6740,3774702
141000,0.1620,0.1130,0.7378,9.9,-0.6761,3793541
142000,0.1540,0.1133,0.7321,9.6,-0.6925,3813074
143000,0.1470,0.1135,0.7321,9.9,-0.7060,3831496
144000,0.1610,0.1139,0.7321,9.9,-0.6781,3851271
145000,0.1690,0.1143,0.7264,9.8,-0.6623,3870174
146000,0.1490,0.1145,0.7264,9.9,-0.7020,3887771
147000,0.1780,0.1150,0.7264,9.9,-0.6442,3906910
148000,0.1590,0.1153,0.7207,10.0,-0.6826,3925851
149000,0.1460,0.1155,0.7207,9.8,-0.7076,3945724
150000,0.1600,0.1158,0.7207,9.9,-0.6803,3963904
151000,0.1530,0.1160,0.7150,9.5,-0.6945,3982556
152000,0.1730,0.1164,0.7150,9.9,-0.6541,4001251
153000,0.1680,0.1168,0.7150,9.9,-0.6640,4019375
154000,0.1570,0.1171,0.7093,9.6,-0.6864,4037412
155000,0.1480,0.1173,0.7093,10.0,-0.7040,4055273
156000,0.1860,0.1177,0.7093,9.9,-0.6278,4074143
157000,0.1600,0.1180,0.7036,9.8,-0.6804,4093410
158000,0.1860,0.1184,0.7036,9.8,-0.6279,4111098
159000,0.1520,0.1186,0.7036,9.8,-0.6964,4129762
160000,0.1650,0.1189,0.6979,9.5,-0.6708,4147743
161000,0.1640,0.1192,0.6979,9.8,-0.6715,4165780
162000,0.1590,0.1194,0.6979,9.9,-0.6819,4183593
163000,0.1850,0.1198,0.6922,9.4,-0.6301,4201399
164000,0.1580,0.1200,0.6922,9.7,-0.6842,4219838
165000,0.1530,0.1202,0.6922,9.8,-0.6938,4238116
166000,0.1850,0.1206,0.6865,9.3,-0.6300,4256732
167000,0.1780,0.1209,0.6865,9.6,-0.6445,4274630
168000,0.1720,0.1212,0.6865,9.8,-0.6558,4292900
169000,0.1690,0.1215,0.6808,9.7,-0.6627,4311134
170000,0.1760,0.1218,0.6808,9.7,-0.6476,4329202
171000,0.1660,0.1221,0.6808,9.8,-0.6680,4346669
172000,0.1790,0.1224,0.6751,9.3,-0.6420,4364266
173000,0.1740,0.1227,0.6751,9.6,-0.6523,4382775
174000,0.1890,0.1231,0.6751,9.8,-0.6221,4400414
175000,0.1680,0.1234,0.6694,9.8,-0.6644,4417489
176000,0.1820,0.1237,0.6694,9.8,-0.6359,4435084
177000,0.1810,0.1240,0.6694,10.0,-0.6384,4452361
178000,0.1640,0.1242,0.6637,10.1,-0.6723,4468687
179000,0.1880,0.1246,0.6637,9.8,-0.6242,4486433
180000,0.1670,0.1248,0.6637,10.0,-0.6659,4503817
181000,0.1590,0.1250,0.6580,9.5,-0.6823,4520605
182000,0.1740,0.1253,0.6580,9.8,-0.6522,4538154
183000,0.2100,0.1257,0.6580,9.8,-0.5797,4555445
184000,0.1830,0.1260,0.6523,9.9,-0.6344,4572076
185000,0.2040,0.1264,0.6523,9.9,-0.5920,4589381
186000,0.1540,0.1266,0.6523,10.1,-0.6920,4607018
187000,0.1860,0.1269,0.6466,10.0,-0.6283,4624028
188000,0.1970,0.1273,0.6466,10.0,-0.6063,4641321
189000,0.1900,0.1276,0.6466,10.2,-0.6200,4658362
190000,0.1890,0.1279,0.6409,9.9,-0.6225,4674435
191000,0.1980,0.1283,0.6409,10.2,-0.6038,4691444
192000,0.2370,0.1289,0.6409,10.2,-0.5262,4708197
193000,0.1860,0.1292,0.6352,9.5,-0.6286,4724677
194000,0.2130,0.1296,0.6352,9.7,-0.5738,4741279
195000,0.1990,0.1300,0.6352,10.0,-0.6018,4758051
196000,0.2140,0.1304,0.6295,9.1,-0.5723,4774464
197000,0.1640,0.1306,0.6295,9.7,-0.6720,4790543
198000,0.2010,0.1310,0.6295,9.9,-0.5979,4807125
199000,0.1960,0.1313,0.6238,9.7,-0.6077,4823880
200000,0.2110,0.1317,0.6238,9.7,-0.5785,4840765
201000,0.1860,0.1320,0.6238,10.0,-0.6282,4857419
202000,0.2160,0.1324,0.6181,9.6,-0.5686,4873485
203000,0.2050,0.1328,0.6181,9.7,-0.5894,4889708
204000,0.1920,0.1331,0.6181,10.0,-0.6155,4906134
205000,0.2010,0.1334,0.6124,9.6,-0.5984,4923135
206000,0.1980,0.1337,0.6124,9.7,-0.6041,4939020
207000,0.1830,0.1340,0.6124,10.0,-0.6338,4955511
208000,0.1930,0.1343,0.6067,9.7,-0.6143,4971482
209000,0.2090,0.1346,0.6067,9.8,-0.5820,4987741
210000,0.1930,0.1349,0.6067,10.0,-0.6140,5003984
211000,0.2100,0.1353,0.6010,9.9,-0.5805,5019786
212000,0.1740,0.1354,0.6010,10.1,-0.6519,5036443
213000,0.2070,0.1358,0.6010,10.0,-0.5861,5053116
214000,0.1930,0.1361,0.5953,9.6,-0.6144,5068937
215000,0.2120,0.1364,0.5953,9.7,-0.5761,5085617
216000,0.2280,0.1369,0.5953,9.9,-0.5443,5102172
217000,0.2170,0.1373,0.5896,9.6,-0.5666,5118368
218000,0.2080,0.1376,0.5896,9.7,-0.5837,5134921
219000,0.2120,0.1379,0.5896,9.9,-0.5760,5150629
220000,0.2110,0.1382,0.5839,9.7,-0.5781,5166398
221000,0.2080,0.1385,0.5839,9.8,-0.5846,5181617
222000,0.2110,0.1389,0.5839,10.1,-0.5778,5197029
223000,0.2080,0.1392,0.5782,9.4,-0.5845,5212734
224000,0.1930,0.1395,0.5782,9.6,-0.6141,5228352
225000,0.2160,0.1398,0.5782,9.9,-0.5681,5244363
226000,0.2030,0.1401,0.5725,9.3,-0.5946,5260151
227000,0.2150,0.1404,0.5725,9.6,-0.5701,5275641
228000,0.2040,0.1407,0.5725,9.9,-0.5916,5291643
229000,0.1910,0.1409,0.5668,9.5,-0.6183,5307631
230000,0.2280,0.1413,0.5668,9.6,-0.5439,5323349
231000,0.1920,0.1415,0.5668,9.9,-0.6162,5338441
232000,0.2140,0.1418,0.5611,9.6,-0.5724,5354039
233000,0.2210,0.1422,0.5611,9.7,-0.5583,5369696
234000,0.2190,0.1425,0.5611,9.9,-0.5616,5385672
235000,0.2060,0.1428,0.5554,9.7,-0.5885,5400393
236000,0.2340,0.1432,0.5554,9.6,-0.5322,5415282
237000,0.2290,0.1435,0.5554,9.7,-0.5418,5430548
238000,0.2430,0.1439,0.5497,9.8,-0.5146,5445224
239000,0.2100,0.1442,0.5497,9.8,-0.5799,5460781
240000,0.2110,0.1445,0.5497,9.9,-0.5777,5476728
241000,0.2280,0.1448,0.5440,9.6,-0.5445,5491963
242000,0.2210,0.1452,0.5440,9.7,-0.5580,5506542
243000,0.2170,0.1455,0.5440,9.9,-0.5662,5521979
244000,0.2360,0.1459,0.5383,9.5,-0.5285,5536807
245000,0.2130,0.1462,0.5383,9.7,-0.5740,5552146
246000,0.2510,0.1466,0.5383,9.9,-0.4981,5566814
247000,0.2270,0.1469,0.5326,9.6,-0.5465,5581536
248000,0.2320,0.1473,0.5326,9.8,-0.5359,5595417
249000,0.2370,0.1476,0.5326,10.0,-0.5257,5610057
250000,0.2460,0.1480,0.5269,9.3,-0.5087,5625176
251000,0.2470,0.1484,0.5269,9.7,-0.5058,5640067
252000,0.2460,0.1488,0.5269,9.9,-0.5081,5655023
253000,0.2430,0.1492,0.5212,9.4,-0.5148,5669508
254000,0.2310,0.1495,0.5212,9.5,-0.5379,5685511
255000,0.2520,0.1499,0.5212,9.8,-0.4956,5700163
256000,0.2470,0.1503,0.5155,9.7,-0.5065,5714870
257000,0.2580,0.1507,0.5155,9.8,-0.4838,5729347
258000,0.2450,0.1511,0.5155,10.0,-0.5100,5743501
259000,0.2450,0.1515,0.5098,9.5,-0.5105,5758149
260000,0.2440,0.1518,0.5098,9.9,-0.5120,5772801
261000,0.2270,0.1521,0.5098,10.0,-0.5460,5786565
262000,0.2250,0.1524,0.5041,9.5,-0.5503,5801687
263000,0.2750,0.1529,0.5041,9.6,-0.4502,5815959
264000,0.2620,0.1533,0.5041,9.9,-0.4761,5830343
265000,0.2600,0.1537,0.4984,9.5,-0.4805,5844883
266000,0.2270,0.1540,0.4984,9.7,-0.5459,5858910
267000,0.2640,0.1544,0.4984,9.9,-0.4714,5873280
268000,0.2740,0.1548,0.4927,9.0,-0.4526,5888396
269000,0.2490,0.1552,0.4927,9.5,-0.5020,5902806
270000,0.2390,0.1555,0.4927,9.8,-0.5214,5917266
271000,0.2620,0.1559,0.4870,9.4,-0.4763,5930976
272000,0.2520,0.1562,0.4870,9.6,-0.4959,5945428
273000,0.2380,0.1565,0.4870,10.0,-0.5242,5959622
274000,0.2360,0.1568,0.4813,9.2,-0.5284,5973668
275000,0.2570,0.1572,0.4813,9.6,-0.4859,5987784
276000,0.2450,0.1575,0.4813,9.8,-0.5102,6002121
277000,0.2570,0.1579,0.4756,9.5,-0.4867,6016181
278000,0.2620,0.1582,0.4756,9.9,-0.4760,6029857
279000,0.2510,0.1586,0.4756,10.0,-0.4973,6043832
280000,0.2640,0.1590,0.4699,9.6,-0.4721,6057855
281000,0.2450,0.1593,0.4699,9.6,-0.5105,6071699
282000,0.2430,0.1596,0.4699,9.9,-0.5132,6085470
283000,0.2530,0.1599,0.4642,9.5,-0.4941,6099500
284000,0.2330,0.1602,0.4642,9.6,-0.5340,6113337
285000,0.2660,0.1606,0.4642,9.9,-0.4680,6127437
286000,0.2530,0.1609,0.4585,9.7,-0.4943,6141249
