Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.0700,0.0700,0.9981,4.8,-0.8659,4429
200,0.1000,0.0850,0.9962,4.5,-0.7991,9027
300,0.1400,0.1033,0.9943,4.3,-0.7213,13295
400,0.1000,0.1025,0.9924,4.3,-0.7987,17643
500,0.1100,0.1040,0.9905,4.3,-0.7787,21553
600,0.1000,0.1033,0.9886,4.3,-0.8010,25386
700,0.0800,0.1000,0.9867,4.2,-0.8441,29223
800,0.0700,0.0963,0.9848,4.2,-0.8549,32988
900,0.1000,0.0967,0.9829,4.3,-0.8015,36328
1000,0.1300,0.1000,0.9810,4.2,-0.7410,39585
1100,0.0800,0.0982,0.9791,4.2,-0.8385,42992
1200,0.1100,0.0992,0.9772,4.2,-0.7774,46434
1300,0.1400,0.1023,0.9753,4.2,-0.7206,49697
1400,0.1300,0.1043,0.9734,4.2,-0.7422,52986
1500,0.1100,0.1047,0.9715,4.2,-0.7826,55907
1600,0.1000,0.1044,0.9696,4.2,-0.7987,59051
1700,0.1000,0.1041,0.9677,4.2,-0.7990,62000
1800,0.1000,0.1039,0.9658,4.2,-0.7957,64960
1900,0.1100,0.1042,0.9639,4.2,-0.7799,68050
2000,0.1300,0.1055,0.9620,4.2,-0.7417,70984
2100,0.0800,0.1043,0.9601,4.3,-0.8446,73767
2200,0.1100,0.1045,0.9582,4.0,-0.7776,76852
2300,0.1000,0.1043,0.9563,4.0,-0.8010,79776
2400,0.1400,0.1058,0.9544,4.1,-0.7224,82485
2500,0.1600,0.1080,0.9525,4.0,-0.6789,85059
2600,0.1400,0.1092,0.9506,4.1,-0.7161,87742
2700,0.1600,0.1111,0.9487,4.1,-0.6830,90489
2800,0.1100,0.1111,0.9468,4.1,-0.7792,93184
2900,0.1600,0.1128,0.9449,4.2,-0.6856,95774
3000,0.0900,0.1120,0.9430,4.1,-0.8121,98395
3100,0.1400,0.1129,0.9411,4.2,-0.7222,100984
3200,0.0800,0.1119,0.9392,4.2,-0.8398,103564
3300,0.1900,0.1142,0.9373,4.2,-0.6237,106110
3400,0.1500,0.1153,0.9354,4.2,-0.6966,108544
3500,0.1800,0.1171,0.9335,4.1,-0.6411,111190
3600,0.1100,0.1169,0.9316,4.1,-0.7827,113793
3700,0.1100,0.1168,0.9297,4.1,-0.7758,116312
3800,0.1300,0.1171,0.9278,4.1,-0.7442,118741
3900,0.1200,0.1172,0.9259,4.1,-0.7594,121161
4000,0.1400,0.1177,0.9240,4.1,-0.7190,123603
4100,0.1000,0.1173,0.9221,4.4,-0.8025,126004
4200,0.2000,0.1193,0.9202,4.2,-0.6016,128289
4300,0.1100,0.1191,0.9183,4.3,-0.7771,130663
4400,0.1000,0.1186,0.9164,4.2,-0.8048,132822
4500,0.1000,0.1182,0.9145,4.3,-0.8002,135012
4600,0.1200,0.1185,0.9126,4.3,-0.7614,137323
4700,0.1300,0.1187,0.9107,4.2,-0.7351,139841
4800,0.1200,0.1187,0.9088,4.1,-0.7637,142078
4900,0.1600,0.1196,0.9069,4.2,-0.6787,144430
5000,0.1600,0.1204,0.9050,4.1,-0.6810,146775
5100,0.1700,0.1214,0.9031,4.2,-0.6583,148776
5200,0.1300,0.1215,0.9012,4.2,-0.7394,150927
5300,0.1900,0.1228,0.8993,4.2,-0.6186,153211
5400,0.1600,0.1235,0.8974,4.2,-0.6854,155408
5500,0.1800,0.1245,0.8955,4.1,-0.6379,157649
5600,0.1800,0.1255,0.8936,4.1,-0.6396,159703
5700,0.1300,0.1256,0.8917,4.2,-0.7407,161666
5800,0.1800,0.1266,0.8898,4.2,-0.6389,163698
5900,0.1300,0.1266,0.8879,4.2,-0.7401,165852
6000,0.0800,0.1258,0.8860,4.2,-0.8390,167925
6100,0.2000,0.1270,0.8841,4.0,-0.6060,169951
6200,0.1100,0.1268,0.8822,4.0,-0.7795,172154
6300,0.2000,0.1279,0.8803,4.2,-0.6006,174181
6400,0.1400,0.1281,0.8784,4.3,-0.7195,176066
6500,0.1600,0.1286,0.8765,4.2,-0.6794,177994
6600,0.1800,0.1294,0.8746,4.3,-0.6420,179993
6700,0.1100,0.1293,0.8727,4.2,-0.7724,182082
6800,0.1300,0.1294,0.8708,4.2,-0.7467,184177
6900,0.1700,0.1300,0.8689,4.2,-0.6564,186224
7000,0.1400,0.1301,0.8670,4.2,-0.7159,188098
7100,0.1900,0.1310,0.8651,4.2,-0.6294,190013
7200,0.0800,0.1303,0.8632,4.2,-0.8363,192003
7300,0.1600,0.1307,0.8613,4.2,-0.6816,193880
7400,0.1800,0.1314,0.8594,4.2,-0.6372,195838
7500,0.1100,0.1311,0.8575,4.2,-0.7809,197773
7600,0.2000,0.1320,0.8556,4.2,-0.6016,199665
7700,0.1300,0.1319,0.8537,4.2,-0.7397,201570
7800,0.1900,0.1327,0.8518,4.2,-0.6203,203583
7900,0.2000,0.1335,0.8499,4.1,-0.6016,205428
8000,0.1600,0.1339,0.8480,4.1,-0.6752,207339
8100,0.1800,0.1344,0.8461,4.2,-0.6464,209101
8200,0.1900,0.1351,0.8442,4.1,-0.6198,211116
8300,0.1000,0.1347,0.8423,4.2,-0.7974,212841
8400,0.1100,0.1344,0.8404,4.3,-0.7802,214641
8500,0.1300,0.1344,0.8385,4.3,-0.7390,216454
8600,0.1500,0.1347,0.8366,4.2,-0.7012,218367
8700,0.1900,0.1353,0.8347,4.2,-0.6219,220079
8800,0.1400,0.1353,0.8328,4.1,-0.7196,222144
8900,0.1700,0.1357,0.8309,4.1,-0.6587,224060
9000,0.1200,0.1356,0.8290,4.1,-0.7587,225874
9100,0.1200,0.1354,0.8271,4.1,-0.7621,227792
9200,0.1900,0.1360,0.8252,4.1,-0.6210,229535
9300,0.1500,0.1361,0.8233,4.1,-0.6991,231611
9400,0.1200,0.1360,0.8214,4.1,-0.7574,233471
9500,0.1100,0.1357,0.8195,4.1,-0.7848,235071
9600,0.1500,0.1358,0.8176,4.1,-0.6992,236696
9700,0.1300,0.1358,0.8157,4.2,-0.7396,238348
9800,0.1700,0.1361,0.8138,4.2,-0.6601,240256
9900,0.0900,0.1357,0.8119,4.1,-0.8203,242027
10000,0.1800,0.1361,0.8100,4.1,-0.6344,243707
10100,0.1800,0.1365,0.8081,4.0,-0.6450,245403
10200,0.1700,0.1369,0.8062,4.0,-0.6575,247159
10300,0.1700,0.1372,0.8043,4.1,-0.6607,248954
10400,0.1500,0.1373,0.8024,4.1,-0.7018,250613
10500,0.1900,0.1378,0.8005,4.1,-0.6203,252439
10600,0.1300,0.1377,0.7986,4.1,-0.7391,254248
10700,0.1900,0.1382,0.7967,4.1,-0.6166,255961
10800,0.1300,0.1382,0.7948,4.1,-0.7442,257755
10900,0.1200,0.1381,0.7929,4.1,-0.7609,259380
11000,0.2000,0.1386,0.7910,4.1,-0.6008,261007
11100,0.1700,0.1389,0.7891,4.1,-0.6598,262797
11200,0.1500,0.1390,0.7872,4.1,-0.6998,264610
11300,0.1100,0.1388,0.7853,4.1,-0.7787,266426
11400,0.1800,0.1391,0.7834,4.1,-0.6398,268076
11500,0.0900,0.1387,0.7815,4.1,-0.8212,269747
11600,0.1900,0.1391,0.7796,4.1,-0.6186,271567
11700,0.1600,0.1393,0.7777,4.1,-0.6780,273171
11800,0.2700,0.1404,0.7758,4.1,-0.4612,274900
11900,0.0900,0.1400,0.7739,4.1,-0.8221,276552
12000,0.1700,0.1403,0.7720,4.1,-0.6563,278146
12100,0.1200,0.1402,0.7701,3.9,-0.7672,279844
12200,0.2000,0.1407,0.7682,3.9,-0.5988,281468
12300,0.1500,0.1407,0.7663,4.1,-0.6977,282954
12400,0.1500,0.1408,0.7644,4.2,-0.6998,284689
12500,0.1100,0.1406,0.7625,4.2,-0.7808,286307
12600,0.2000,0.1410,0.7606,4.2,-0.6016,287929
12700,0.1300,0.1409,0.7587,4.2,-0.7376,289401
12800,0.1500,0.1410,0.7568,4.1,-0.7026,291256
12900,0.2000,0.1415,0.7549,4.1,-0.6012,292777
13000,0.1400,0.1415,0.7530,4.1,-0.7140,294241
13100,0.1800,0.1418,0.7511,4.1,-0.6424,295666
13200,0.1600,0.1420,0.7492,4.1,-0.6843,297170
13300,0.1800,0.1423,0.7473,4.1,-0.6376,299086
13400,0.2300,0.1429,0.7454,4.2,-0.5393,300585
