Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.1100,0.1100,0.9981,4.1,-0.7850,14158
200,0.0900,0.1050,0.9962,4.0,-0.8197,26520
300,0.0600,0.0900,0.9943,4.0,-0.8808,37797
400,0.1000,0.0950,0.9924,4.0,-0.8014,48560
500,0.1200,0.1000,0.9905,4.0,-0.7595,58411
600,0.1200,0.1033,0.9886,4.1,-0.7577,68071
700,0.1100,0.1043,0.9867,4.0,-0.7810,77593
800,0.0900,0.1025,0.9848,4.0,-0.8191,86781
900,0.1300,0.1056,0.9829,4.1,-0.7371,95158
1000,0.1000,0.1050,0.9810,4.1,-0.8050,102720
1100,0.0900,0.1036,0.9791,4.1,-0.8177,110664
1200,0.0900,0.1025,0.9772,4.1,-0.8199,118183
1300,0.0800,0.1008,0.9753,4.1,-0.8388,126221
1400,0.1200,0.1021,0.9734,4.1,-0.7632,133789
1500,0.0700,0.1000,0.9715,4.1,-0.8605,140345
1600,0.1300,0.1019,0.9696,4.1,-0.7419,147120
1700,0.1000,0.1018,0.9677,4.1,-0.7931,153576
1800,0.0900,0.1011,0.9658,4.2,-0.8235,159974
1900,0.1500,0.1037,0.9639,4.1,-0.6972,167507
2000,0.0900,0.1030,0.9620,4.1,-0.8216,173282
2100,0.1100,0.1033,0.9601,4.1,-0.7872,179304
2200,0.1500,0.1055,0.9582,4.0,-0.6933,185229
2300,0.1100,0.1057,0.9563,4.1,-0.7808,190980
2400,0.1300,0.1067,0.9544,4.2,-0.7456,197440
2500,0.1100,0.1068,0.9525,4.2,-0.7778,202952
2600,0.1300,0.1077,0.9506,4.2,-0.7403,208837
2700,0.1900,0.1107,0.9487,4.2,-0.6211,214576
2800,0.1300,0.1114,0.9468,4.2,-0.7351,220320
2900,0.0900,0.1107,0.9449,4.3,-0.8223,225405
3000,0.1200,0.1110,0.9430,4.3,-0.7619,231160
3100,0.1100,0.1110,0.9411,4.3,-0.7795,236463
3200,0.0900,0.1103,0.9392,4.3,-0.8181,242262
3300,0.1500,0.1115,0.9373,4.3,-0.7065,247385
3400,0.1400,0.1124,0.9354,4.3,-0.7091,252786
3500,0.0900,0.1117,0.9335,4.3,-0.8202,257613
3600,0.1900,0.1139,0.9316,4.2,-0.6241,263519
3700,0.1300,0.1143,0.9297,4.2,-0.7376,269159
3800,0.1200,0.1145,0.9278,4.3,-0.7654,274442
3900,0.1100,0.1146,0.9259,4.2,-0.7802,279740
4000,0.1800,0.1163,0.9240,4.2,-0.6390,284709
4100,0.1400,0.1168,0.9221,3.9,-0.7260,289631
4200,0.1200,0.1169,0.9202,4.2,-0.7566,293842
4300,0.1600,0.1179,0.9183,4.0,-0.6822,299909
4400,0.1400,0.1184,0.9164,4.1,-0.7203,304929
4500,0.0900,0.1178,0.9145,4.1,-0.8207,309427
4600,0.1500,0.1185,0.9126,4.1,-0.7004,314183
4700,0.1700,0.1196,0.9107,4.1,-0.6560,319280
4800,0.1700,0.1206,0.9088,4.1,-0.6616,324071
4900,0.0900,0.1200,0.9069,4.1,-0.8198,328728
5000,0.1100,0.1198,0.9050,4.1,-0.7802,333216
5100,0.2000,0.1214,0.9031,4.2,-0.5999,337832
5200,0.1500,0.1219,0.9012,4.2,-0.7000,342538
5300,0.1600,0.1226,0.8993,4.2,-0.6822,347074
5400,0.1500,0.1231,0.8974,4.2,-0.6982,351346
5500,0.1300,0.1233,0.8955,4.2,-0.7392,355745
5600,0.1200,0.1232,0.8936,4.1,-0.7591,360183
5700,0.1100,0.1230,0.8917,4.2,-0.7812,363742
5800,0.1700,0.1238,0.8898,4.2,-0.6613,367961
5900,0.1300,0.1239,0.8879,4.2,-0.7354,371681
6000,0.1500,0.1243,0.8860,4.2,-0.7022,376134
6100,0.1700,0.1251,0.8841,4.3,-0.6652,380626
6200,0.1100,0.1248,0.8822,4.3,-0.7788,384696
6300,0.1200,0.1248,0.8803,4.3,-0.7614,388680
6400,0.1600,0.1253,0.8784,4.3,-0.6829,392261
6500,0.1600,0.1260,0.8765,4.4,-0.6778,396392
6600,0.1800,0.1268,0.8746,4.4,-0.6384,400251
6700,0.1500,0.1272,0.8727,4.4,-0.6961,404803
6800,0.1500,0.1275,0.8708,4.4,-0.7054,408446
6900,0.1500,0.1278,0.8689,4.3,-0.6991,412762
7000,0.1400,0.1280,0.8670,4.4,-0.7129,416270
7100,0.1100,0.1279,0.8651,4.4,-0.7879,420185
7200,0.1400,0.1281,0.8632,4.4,-0.7170,424185
7300,0.1200,0.1279,0.8613,4.4,-0.7626,427651
7400,0.0900,0.1274,0.8594,4.4,-0.8172,431164
7500,0.1300,0.1275,0.8575,4.4,-0.7428,435090
7600,0.1500,0.1278,0.8556,4.4,-0.7007,439120
7700,0.1700,0.1283,0.8537,4.4,-0.6549,442910
7800,0.1600,0.1287,0.8518,4.4,-0.6841,446137
7900,0.0900,0.1282,0.8499,4.4,-0.8211,450056
8000,0.1100,0.1280,0.8480,4.4,-0.7794,453869
8100,0.1500,0.1283,0.8461,4.3,-0.7073,457657
8200,0.1000,0.1279,0.8442,4.4,-0.7997,461425
8300,0.1100,0.1277,0.8423,4.5,-0.7767,464537
8400,0.0900,0.1273,0.8404,4.6,-0.8173,467663
8500,0.2200,0.1284,0.8385,4.6,-0.5537,471036
8600,0.2000,0.1292,0.8366,4.5,-0.6080,474442
8700,0.1200,0.1291,0.8347,4.5,-0.7602,477528
8800,0.2000,0.1299,0.8328,4.5,-0.5999,481009
8900,0.1300,0.1299,0.8309,4.4,-0.7435,484644
9000,0.1300,0.1299,0.8290,4.5,-0.7364,487963
9100,0.1400,0.1300,0.8271,4.4,-0.7230,491491
9200,0.2300,0.1311,0.8252,4.5,-0.5402,494874
9300,0.1200,0.1310,0.8233,4.4,-0.7589,498603
9400,0.1400,0.1311,0.8214,4.4,-0.7194,501694
9500,0.1500,0.1313,0.8195,4.4,-0.7030,505131
9600,0.1500,0.1315,0.8176,4.5,-0.6993,508269
9700,0.1700,0.1319,0.8157,4.4,-0.6597,511729
9800,0.1400,0.1319,0.8138,4.5,-0.7221,514971
9900,0.1100,0.1317,0.8119,4.5,-0.7773,518187
10000,0.1300,0.1317,0.8100,4.4,-0.7408,521325
10100,0.2100,0.1325,0.8081,4.5,-0.5837,524609
10200,0.1500,0.1326,0.8062,4.5,-0.7011,527734
10300,0.1500,0.1328,0.8043,4.6,-0.7000,530998
10400,0.1900,0.1334,0.8024,4.6,-0.6164,533763
10500,0.1700,0.1337,0.8005,4.6,-0.6622,537149
10600,0.2000,0.1343,0.7986,4.5,-0.5978,540777
10700,0.1700,0.1347,0.7967,4.6,-0.6578,543506
10800,0.2000,0.1354,0.7948,4.6,-0.6032,546606
10900,0.1500,0.1355,0.7929,4.6,-0.7036,549925
11000,0.1200,0.1354,0.7910,4.6,-0.7601,552557
11100,0.1800,0.1358,0.7891,4.6,-0.6395,555802
11200,0.1800,0.1362,0.7872,4.6,-0.6399,558987
11300,0.1300,0.1361,0.7853,4.6,-0.7370,562428
11400,0.1300,0.1361,0.7834,4.5,-0.7441,565265
11500,0.1300,0.1360,0.7815,4.6,-0.7355,568756
11600,0.1400,0.1360,0.7796,4.6,-0.7207,572034
11700,0.1600,0.1362,0.7777,4.5,-0.6758,574996
11800,0.1700,0.1365,0.7758,4.6,-0.6672,577791
11900,0.1600,0.1367,0.7739,4.6,-0.6801,580742
12000,0.1700,0.1370,0.7720,4.6,-0.6579,583440
12100,0.1900,0.1374,0.7701,4.8,-0.6276,586028
12200,0.1300,0.1374,0.7682,4.4,-0.7404,588852
12300,0.1800,0.1377,0.7663,4.4,-0.6370,591753
12400,0.1700,0.1380,0.7644,4.5,-0.6588,594324
12500,0.1800,0.1383,0.7625,4.6,-0.6431,596739
12600,0.1700,0.1386,0.7606,4.6,-0.6571,599388
12700,0.2300,0.1393,0.7587,4.7,-0.5382,601974
12800,0.1800,0.1396,0.7568,4.7,-0.6426,604898
12900,0.2700,0.1406,0.7549,4.6,-0.4621,607919
13000,0.2200,0.1412,0.7530,4.7,-0.5590,610223
13100,0.1700,0.1415,0.7511,4.7,-0.6581,613441
13200,0.1900,0.1419,0.7492,4.7,-0.6211,616267
13300,0.2400,0.1426,0.7473,4.7,-0.5225,619280
13400,0.2400,0.1434,0.7454,4.6,-0.5166,621797
13500,0.1700,0.1436,0.7435,4.7,-0.6594,624323
13600,0.1500,0.1436,0.7416,4.7,-0.6953,627264
13700,0.2100,0.1441,0.7397,4.7,-0.5849,630130
13800,0.1800,0.1444,0.7378,4.7,-0.6418,632677
13900,0.1900,0.1447,0.7359,4.7,-0.6187,635686
14000,0.1600,0.1449,0.7340,4.7,-0.6803,638300
14100,0.2200,0.1455,0.7321,4.5,-0.5660,640974
14200,0.1600,0.1456,0.7302,4.3,-0.6832,643683
14300,0.2300,0.1462,0.7283,4.4,-0.5347,646597
14400,0.1800,0.1464,0.7264,4.5,-0.6400,649297
14500,0.2000,0.1468,0.7245,4.5,-0.5991,651867
14600,0.2100,0.1473,0.7226,4.5,-0.5811,654841
14700,0.2100,0.1477,0.7207,4.5,-0.5787,657894
14800,0.2000,0.1480,0.7188,4.5,-0.6000,660702
14900,0.2300,0.1486,0.7169,4.6,-0.5369,663007
15000,0.2500,0.1493,0.7150,4.6,-0.5077,665451
15100,0.1500,0.1493,0.7131,4.7,-0.6968,667915
15200,0.2000,0.1497,0.7112,4.6,-0.5995,670547
15300,0.2700,0.1505,0.7093,4.7,-0.4603,673001
15400,0.1900,0.1507,0.7074,4.6,-0.6213,675496
15500,0.2300,0.1512,0.7055,4.6,-0.5373,678369
15600,0.2000,0.1515,0.7036,4.6,-0.6013,680886
15700,0.1900,0.1518,0.7017,4.7,-0.6201,683253
15800,0.2400,0.1524,0.6998,4.6,-0.5232,686000
15900,0.1800,0.1526,0.6979,4.6,-0.6388,688484
