Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.0700,0.0700,0.9981,5.1,-0.8662,11356
200,0.0400,0.0550,0.9962,5.3,-0.9178,21364
300,0.0600,0.0567,0.9943,5.3,-0.8837,29890
400,0.0800,0.0625,0.9924,5.4,-0.8373,38075
500,0.1000,0.0700,0.9905,5.4,-0.8012,46120
600,0.0600,0.0683,0.9886,5.4,-0.8799,53371
700,0.0600,0.0671,0.9867,5.5,-0.8802,60368
800,0.0800,0.0688,0.9848,5.5,-0.8366,67061
900,0.1000,0.0722,0.9829,5.5,-0.8010,73916
1000,0.0700,0.0720,0.9810,5.5,-0.8641,80281
1100,0.0900,0.0736,0.9791,5.5,-0.8175,86426
1200,0.0200,0.0692,0.9772,5.6,-0.9617,92513
1300,0.0500,0.0677,0.9753,5.6,-0.9001,98694
1400,0.1100,0.0707,0.9734,5.5,-0.7728,104640
1500,0.0600,0.0700,0.9715,5.5,-0.8853,109877
1600,0.0700,0.0700,0.9696,5.5,-0.8625,115490
1700,0.0600,0.0694,0.9677,5.5,-0.8754,120844
1800,0.0900,0.0706,0.9658,5.5,-0.8238,126346
1900,0.0800,0.0711,0.9639,5.5,-0.8393,132045
2000,0.0500,0.0700,0.9620,5.5,-0.8996,137263
2100,0.1000,0.0714,0.9601,5.5,-0.8066,142750
2200,0.0800,0.0718,0.9582,5.8,-0.8357,147276
2300,0.1200,0.0739,0.9563,5.7,-0.7614,152292
2400,0.0700,0.0737,0.9544,5.6,-0.8617,157116
2500,0.1200,0.0756,0.9525,5.6,-0.7626,161571
2600,0.0800,0.0758,0.9506,5.6,-0.8378,166056
2700,0.0900,0.0763,0.9487,5.7,-0.8202,170819
2800,0.0900,0.0768,0.9468,5.7,-0.8205,175347
2900,0.0800,0.0769,0.9449,5.7,-0.8383,179965
3000,0.0700,0.0767,0.9430,5.8,-0.8586,183698
3100,0.0600,0.0761,0.9411,5.8,-0.8823,187886
3200,0.1000,0.0769,0.9392,5.7,-0.8004,192175
3300,0.0900,0.0773,0.9373,5.7,-0.8177,196149
3400,0.0700,0.0771,0.9354,5.7,-0.8599,199952
3500,0.0800,0.0771,0.9335,5.7,-0.8412,203927
3600,0.0800,0.0772,0.9316,5.8,-0.8414,207681
3700,0.0700,0.0770,0.9297,5.8,-0.8593,211640
3800,0.0600,0.0766,0.9278,5.7,-0.8789,215701
3900,0.0800,0.0767,0.9259,5.8,-0.8373,219865
4000,0.0600,0.0762,0.9240,5.8,-0.8839,224194
4100,0.1000,0.0768,0.9221,5.4,-0.8071,228423
4200,0.1500,0.0786,0.9202,5.5,-0.7001,232331
4300,0.0600,0.0781,0.9183,5.5,-0.8764,235956
4400,0.0800,0.0782,0.9164,5.6,-0.8419,239641
4500,0.1300,0.0793,0.9145,5.6,-0.7411,243492
4600,0.0900,0.0796,0.9126,5.6,-0.8214,246909
4700,0.1100,0.0802,0.9107,5.7,-0.7779,250174
4800,0.0600,0.0798,0.9088,5.8,-0.8792,253567
4900,0.0600,0.0794,0.9069,5.8,-0.8786,257064
5000,0.0900,0.0796,0.9050,5.8,-0.8210,260588
5100,0.0800,0.0796,0.9031,5.8,-0.8412,264102
5200,0.0300,0.0787,0.9012,5.8,-0.9397,267601
5300,0.1200,0.0794,0.8993,5.8,-0.7601,271320
5400,0.0900,0.0796,0.8974,5.8,-0.8206,275261
5500,0.0300,0.0787,0.8955,5.8,-0.9379,278558
5600,0.1000,0.0791,0.8936,5.8,-0.8012,282075
5700,0.0500,0.0786,0.8917,5.8,-0.9005,285383
5800,0.1100,0.0791,0.8898,5.7,-0.7820,288529
5900,0.0500,0.0786,0.8879,5.8,-0.8970,291829
6000,0.0400,0.0780,0.8860,5.8,-0.9219,295176
6100,0.0800,0.0780,0.8841,5.8,-0.8434,298543
6200,0.0800,0.0781,0.8822,5.5,-0.8424,301959
6300,0.0500,0.0776,0.8803,5.8,-0.8992,305069
6400,0.0900,0.0778,0.8784,5.7,-0.8210,308164
6500,0.1100,0.0783,0.8765,5.8,-0.7790,311106
6600,0.1100,0.0788,0.8746,5.8,-0.7786,314426
6700,0.1400,0.0797,0.8727,5.8,-0.7217,317581
6800,0.0700,0.0796,0.8708,5.8,-0.8618,320473
6900,0.0900,0.0797,0.8689,5.8,-0.8168,323546
7000,0.0500,0.0793,0.8670,5.8,-0.9011,326627
7100,0.1200,0.0799,0.8651,5.9,-0.7579,329518
7200,0.0700,0.0797,0.8632,5.8,-0.8634,332620
7300,0.0800,0.0797,0.8613,5.8,-0.8391,335614
7400,0.0500,0.0793,0.8594,5.9,-0.9009,338531
7500,0.1300,0.0800,0.8575,5.8,-0.7396,341187
7600,0.0700,0.0799,0.8556,5.9,-0.8605,344250
7700,0.1000,0.0801,0.8537,5.9,-0.7974,347324
7800,0.0800,0.0801,0.8518,5.8,-0.8406,350128
7900,0.0900,0.0803,0.8499,5.8,-0.8236,352903
8000,0.0900,0.0804,0.8480,5.8,-0.8181,355715
8100,0.1200,0.0809,0.8461,5.9,-0.7653,358495
8200,0.1000,0.0811,0.8442,6.1,-0.8007,361325
8300,0.1000,0.0813,0.8423,6.0,-0.8002,364095
8400,0.1200,0.0818,0.8404,6.0,-0.7588,367227
8500,0.1200,0.0822,0.8385,6.0,-0.7613,369774
8600,0.1300,0.0828,0.8366,6.0,-0.7396,372647
8700,0.1000,0.0830,0.8347,5.9,-0.8002,375393
8800,0.1500,0.0838,0.8328,5.9,-0.6989,378035
8900,0.1200,0.0842,0.8309,5.9,-0.7616,380701
