Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.0500,0.0500,0.9981,5.6,-0.9051,3095
200,0.0500,0.0500,0.9962,5.4,-0.9013,6159
300,0.0600,0.0533,0.9943,5.4,-0.8809,9254
400,0.0300,0.0475,0.9924,5.4,-0.9386,12350
500,0.0600,0.0500,0.9905,5.4,-0.8789,15384
600,0.0400,0.0483,0.9886,5.4,-0.9218,18307
700,0.0500,0.0500,0.9867,5.4,-0.8989,21229
800,0.0400,0.0488,0.9848,5.5,-0.9185,24246
900,0.0300,0.0467,0.9829,5.4,-0.9403,27507
1000,0.0200,0.0440,0.9810,5.4,-0.9604,30620
1100,0.0400,0.0436,0.9791,5.4,-0.9222,33623
1200,0.0200,0.0417,0.9772,5.4,-0.9593,36622
1300,0.0500,0.0423,0.9753,5.3,-0.8975,39843
1400,0.0700,0.0443,0.9734,5.4,-0.8610,42910
1500,0.0800,0.0467,0.9715,5.4,-0.8424,45809
1600,0.0400,0.0462,0.9696,5.4,-0.9201,48848
1700,0.0700,0.0476,0.9677,5.4,-0.8587,51855
1800,0.0800,0.0494,0.9658,5.4,-0.8376,54910
1900,0.0500,0.0495,0.9639,5.4,-0.9012,57717
2000,0.0100,0.0475,0.9620,5.4,-0.9807,60562
2100,0.0600,0.0481,0.9601,5.5,-0.8863,63489
2200,0.0400,0.0477,0.9582,5.4,-0.9207,66435
2300,0.0400,0.0474,0.9563,5.4,-0.9188,69426
2400,0.0200,0.0462,0.9544,5.3,-0.9607,72339
2500,0.0600,0.0468,0.9525,5.2,-0.8793,75529
2600,0.0500,0.0469,0.9506,5.3,-0.8996,78521
2700,0.0400,0.0467,0.9487,5.3,-0.9207,81546
2800,0.0100,0.0454,0.9468,5.3,-0.9777,84510
2900,0.0400,0.0452,0.9449,5.3,-0.9211,87383
3000,0.0200,0.0443,0.9430,5.4,-0.9590,90136
3100,0.0500,0.0445,0.9411,5.3,-0.9030,93173
3200,0.0400,0.0444,0.9392,5.3,-0.9203,96140
3300,0.0600,0.0448,0.9373,5.3,-0.8775,99287
3400,0.0500,0.0450,0.9354,5.3,-0.9016,102228
3500,0.0200,0.0443,0.9335,5.3,-0.9612,105078
3600,0.0100,0.0436,0.9316,5.3,-0.9773,108157
3700,0.0900,0.0449,0.9297,5.3,-0.8227,110993
3800,0.0200,0.0442,0.9278,5.3,-0.9601,113983
3900,0.0500,0.0444,0.9259,5.3,-0.9009,116762
4000,0.0200,0.0437,0.9240,5.2,-0.9554,119788
4100,0.0600,0.0441,0.9221,5.4,-0.8862,122603
4200,0.0000,0.0431,0.9202,5.4,-1.0003,125492
4300,0.0700,0.0437,0.9183,5.4,-0.8591,128321
4400,0.0500,0.0439,0.9164,5.3,-0.8983,131257
4500,0.0400,0.0438,0.9145,5.4,-0.9211,134099
4600,0.0200,0.0433,0.9126,5.3,-0.9600,137092
4700,0.0700,0.0438,0.9107,5.3,-0.8613,139918
4800,0.0600,0.0442,0.9088,5.4,-0.8779,142813
4900,0.0400,0.0441,0.9069,5.3,-0.9211,145706
5000,0.0300,0.0438,0.9050,5.4,-0.9417,148623
5100,0.0400,0.0437,0.9031,5.3,-0.9203,151427
5200,0.0500,0.0438,0.9012,5.4,-0.8991,154123
5300,0.0400,0.0438,0.8993,5.4,-0.9210,156921
5400,0.0200,0.0433,0.8974,5.4,-0.9565,159733
5500,0.0500,0.0435,0.8955,5.4,-0.8987,162475
5600,0.0700,0.0439,0.8936,5.4,-0.8602,165435
5700,0.0200,0.0435,0.8917,5.4,-0.9622,168289
5800,0.0500,0.0436,0.8898,5.4,-0.9025,171087
5900,0.0200,0.0432,0.8879,5.4,-0.9551,174104
6000,0.0200,0.0428,0.8860,5.4,-0.9656,176851
6100,0.0300,0.0426,0.8841,5.1,-0.9464,179714
6200,0.0800,0.0432,0.8822,5.3,-0.8401,182522
6300,0.0800,0.0438,0.8803,5.4,-0.8383,185232
6400,0.0600,0.0441,0.8784,5.3,-0.8813,188243
6500,0.0400,0.0440,0.8765,5.3,-0.9215,191193
6600,0.0400,0.0439,0.8746,5.2,-0.9192,194052
6700,0.0700,0.0443,0.8727,5.2,-0.8613,196990
6800,0.0200,0.0440,0.8708,5.2,-0.9585,199809
6900,0.0300,0.0438,0.8689,5.2,-0.9392,202532
7000,0.0500,0.0439,0.8670,5.3,-0.8977,205261
7100,0.0800,0.0444,0.8651,5.2,-0.8414,208166
7200,0.0300,0.0442,0.8632,5.3,-0.9399,211003
7300,0.0500,0.0442,0.8613,5.2,-0.9025,213727
7400,0.0300,0.0441,0.8594,5.3,-0.9384,216345
7500,0.0700,0.0444,0.8575,5.3,-0.8603,219131
7600,0.0900,0.0450,0.8556,5.3,-0.8189,222071
7700,0.0600,0.0452,0.8537,5.3,-0.8826,224964
7800,0.0800,0.0456,0.8518,5.3,-0.8385,227881
7900,0.0400,0.0456,0.8499,5.3,-0.9209,230744
8000,0.0300,0.0454,0.8480,5.2,-0.9409,233611
8100,0.0800,0.0458,0.8461,4.7,-0.8454,236566
8200,0.0700,0.0461,0.8442,5.0,-0.8606,239419
8300,0.0300,0.0459,0.8423,5.2,-0.9390,242241
8400,0.0600,0.0461,0.8404,5.3,-0.8749,245034
8500,0.0300,0.0459,0.8385,5.2,-0.9452,247932
8600,0.0400,0.0458,0.8366,5.2,-0.9232,250748
8700,0.0400,0.0457,0.8347,5.2,-0.9116,253758
8800,0.0800,0.0461,0.8328,5.2,-0.8400,256485
8900,0.0400,0.0461,0.8309,5.3,-0.9200,259129
9000,0.0700,0.0463,0.8290,5.3,-0.8616,262075
9100,0.0200,0.0460,0.8271,5.4,-0.9584,264684
9200,0.0400,0.0460,0.8252,5.4,-0.9200,267378
9300,0.0400,0.0459,0.8233,5.4,-0.9200,270024
9400,0.0500,0.0460,0.8214,5.4,-0.9000,272841
9500,0.0200,0.0457,0.8195,5.5,-0.9601,275568
9600,0.0200,0.0454,0.8176,5.4,-0.9603,278442
9700,0.0400,0.0454,0.8157,5.4,-0.9195,281156
9800,0.0700,0.0456,0.8138,5.4,-0.8600,283979
9900,0.0300,0.0455,0.8119,5.4,-0.9400,286893
10000,0.0400,0.0454,0.8100,5.4,-0.9200,289764
10100,0.0600,0.0455,0.8081,5.5,-0.8852,236426
10200,0.0400,0.0455,0.8062,5.5,-0.9184,239090
10300,0.0700,0.0457,0.8043,5.6,-0.8621,241785
10400,0.0300,0.0456,0.8024,5.6,-0.9384,244442
10500,0.0600,0.0457,0.8005,5.6,-0.8797,247234
10600,0.0400,0.0457,0.7986,5.5,-0.9223,250068
10700,0.0500,0.0457,0.7967,5.4,-0.9005,252864
10800,0.0200,0.0455,0.7948,5.5,-0.9590,255492
10900,0.0900,0.0459,0.7929,5.4,-0.8230,258289
11000,0.0800,0.0462,0.7910,5.5,-0.8377,260947
11100,0.0500,0.0462,0.7891,5.5,-0.8959,263703
11200,0.0300,0.0461,0.7872,5.5,-0.9417,266463
11300,0.0700,0.0463,0.7853,5.5,-0.8625,269271
11400,0.0400,0.0462,0.7834,5.4,-0.9200,272012
11500,0.0900,0.0466,0.7815,5.4,-0.8214,274864
11600,0.0400,0.0466,0.7796,5.4,-0.9177,277642
11700,0.0600,0.0467,0.7777,5.4,-0.8796,280290
11800,0.0500,0.0467,0.7758,5.4,-0.9024,282901
11900,0.0400,0.0466,0.7739,5.4,-0.9176,285687
12000,0.0200,0.0464,0.7720,5.5,-0.9619,288251
12100,0.0400,0.0464,0.7701,5.5,-0.9270,290947
12200,0.0400,0.0463,0.7682,5.4,-0.9209,293634
12300,0.0600,0.0464,0.7663,5.2,-0.8750,296492
12400,0.0600,0.0465,0.7644,5.2,-0.8810,299327
12500,0.0200,0.0463,0.7625,5.2,-0.9621,302239
12600,0.0100,0.0460,0.7606,5.3,-0.9800,304907
12700,0.0400,0.0460,0.7587,5.3,-0.9191,307702
12800,0.0500,0.0460,0.7568,5.3,-0.9019,310484
12900,0.0700,0.0462,0.7549,5.3,-0.8606,313237
13000,0.0400,0.0462,0.7530,5.3,-0.9192,315967
13100,0.0600,0.0463,0.7511,5.2,-0.8745,318993
13200,0.0400,0.0462,0.7492,5.3,-0.9234,321642
13300,0.0400,0.0462,0.7473,5.2,-0.9210,324355
13400,0.0400,0.0461,0.7454,5.3,-0.9186,327139
13500,0.0600,0.0462,0.7435,5.3,-0.8807,329772
13600,0.0100,0.0460,0.7416,5.3,-0.9814,332448
13700,0.0500,0.0460,0.7397,5.3,-0.8994,335214
13800,0.0700,0.0462,0.7378,5.3,-0.8562,337861
13900,0.0600,0.0463,0.7359,5.3,-0.8853,340668
14000,0.0300,0.0461,0.7340,5.3,-0.9374,343450
14100,0.0400,0.0460,0.7321,5.5,-0.9258,346084
14200,0.0600,0.0461,0.7302,5.3,-0.8791,348917
14300,0.0700,0.0463,0.7283,5.3,-0.8613,351694
14400,0.0300,0.0462,0.7264,5.3,-0.9398,354286
14500,0.0300,0.0461,0.7245,5.4,-0.9408,356842
14600,0.0700,0.0462,0.7226,5.4,-0.8574,359498
14700,0.0100,0.0460,0.7207,5.3,-0.9796,362299
14800,0.0400,0.0459,0.7188,5.4,-0.9205,365048
14900,0.0100,0.0457,0.7169,5.3,-0.9821,367727
15000,0.0200,0.0455,0.7150,5.3,-0.9589,370562
15100,0.0700,0.0457,0.7131,5.3,-0.8564,373371
15200,0.0400,0.0457,0.7112,5.3,-0.9264,376023
15300,0.0800,0.0459,0.7093,5.2,-0.8394,378674
15400,0.0700,0.0460,0.7074,5.3,-0.8567,381424
15500,0.0200,0.0459,0.7055,5.3,-0.9632,384191
15600,0.0300,0.0458,0.7036,5.3,-0.9398,386775
15700,0.0300,0.0457,0.7017,5.3,-0.9404,389324
15800,0.1200,0.0461,0.6998,5.3,-0.7594,392040
15900,0.0800,0.0464,0.6979,5.3,-0.8397,394554
16000,0.0300,0.0462,0.6960,5.3,-0.9372,397344
16100,0.0500,0.0462,0.6941,5.0,-0.9075,400036
16200,0.0600,0.0463,0.6922,5.3,-0.8751,402742
