Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.0800,0.0800,0.9981,4.8,-0.8449,4434
200,0.1200,0.1000,0.9962,4.4,-0.7637,9023
300,0.1000,0.1033,0.9943,4.3,-0.7990,13383
400,0.1100,0.1050,0.9924,4.4,-0.7783,17158
500,0.1000,0.1040,0.9905,4.3,-0.8012,21356
600,0.1800,0.1167,0.9886,4.2,-0.6375,25428
700,0.1000,0.1143,0.9867,4.2,-0.8004,29196
800,0.0900,0.1113,0.9848,4.2,-0.8175,32793
900,0.1400,0.1144,0.9829,4.3,-0.7201,36306
1000,0.1300,0.1160,0.9810,4.2,-0.7432,39888
1100,0.0900,0.1136,0.9791,4.2,-0.8168,43255
1200,0.1100,0.1133,0.9772,4.2,-0.7798,46515
1300,0.1400,0.1154,0.9753,4.2,-0.7239,49856
1400,0.1000,0.1143,0.9734,4.2,-0.8001,53185
1500,0.1100,0.1140,0.9715,4.2,-0.7793,56300
1600,0.1800,0.1181,0.9696,4.2,-0.6388,59607
1700,0.1000,0.1171,0.9677,4.2,-0.7980,62567
1800,0.0800,0.1150,0.9658,4.2,-0.8438,65632
1900,0.1100,0.1147,0.9639,4.2,-0.7731,68553
2000,0.1300,0.1155,0.9620,4.2,-0.7428,71339
2100,0.1000,0.1148,0.9601,4.0,-0.8047,74230
2200,0.1200,0.1150,0.9582,4.0,-0.7575,76946
2300,0.1000,0.1143,0.9563,4.0,-0.8001,79853
2400,0.1100,0.1142,0.9544,4.1,-0.7847,82483
2500,0.1900,0.1172,0.9525,4.1,-0.6170,85124
2600,0.0800,0.1158,0.9506,4.1,-0.8389,87833
2700,0.1500,0.1170,0.9487,4.1,-0.7040,90402
2800,0.0800,0.1157,0.9468,4.1,-0.8389,93098
2900,0.1500,0.1169,0.9449,4.2,-0.7015,95736
3000,0.0900,0.1163,0.9430,4.2,-0.8167,98181
3100,0.1200,0.1168,0.9411,4.2,-0.7620,100852
3200,0.1500,0.1178,0.9392,4.2,-0.7005,103384
3300,0.1300,0.1182,0.9373,4.2,-0.7421,105869
3400,0.0600,0.1165,0.9354,4.2,-0.8736,108324
3500,0.1500,0.1174,0.9335,4.2,-0.7019,110858
3600,0.1700,0.1189,0.9316,4.2,-0.6610,113527
3700,0.1200,0.1189,0.9297,4.2,-0.7559,116110
3800,0.1100,0.1187,0.9278,4.2,-0.7867,118615
3900,0.1800,0.1205,0.9259,4.1,-0.6375,120990
4000,0.1200,0.1205,0.9240,4.1,-0.7589,123403
4100,0.1800,0.1220,0.9221,4.3,-0.6385,125546
4200,0.1700,0.1231,0.9202,4.0,-0.6640,127857
4300,0.1500,0.1237,0.9183,3.9,-0.6969,130289
4400,0.1100,0.1236,0.9164,3.9,-0.7837,132592
4500,0.1100,0.1233,0.9145,4.0,-0.7838,134800
4600,0.1000,0.1228,0.9126,4.1,-0.7991,136985
4700,0.1900,0.1243,0.9107,4.1,-0.6180,139544
4800,0.1500,0.1250,0.9088,4.0,-0.7019,141869
4900,0.1600,0.1257,0.9069,4.1,-0.6814,144079
5000,0.1400,0.1260,0.9050,4.1,-0.7177,146275
5100,0.1200,0.1259,0.9031,4.1,-0.7598,148417
5200,0.1700,0.1267,0.9012,4.1,-0.6575,150496
5300,0.2100,0.1283,0.8993,4.1,-0.5827,152537
5400,0.2000,0.1296,0.8974,4.2,-0.6004,154741
5500,0.0800,0.1287,0.8955,4.1,-0.8393,156845
5600,0.1900,0.1298,0.8936,4.1,-0.6190,159017
5700,0.1600,0.1304,0.8917,4.1,-0.6800,161115
5800,0.1500,0.1307,0.8898,4.1,-0.7012,163107
5900,0.0900,0.1300,0.8879,4.1,-0.8197,165067
