Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.0200,0.0200,0.9981,5.4,-0.9637,15118
200,0.0500,0.0350,0.9962,5.2,-0.9050,29511
300,0.0700,0.0467,0.9943,5.2,-0.8561,44383
400,0.0500,0.0475,0.9924,5.1,-0.9022,59187
500,0.0700,0.0520,0.9905,5.2,-0.8571,73412
600,0.0300,0.0483,0.9886,5.3,-0.9405,87021
700,0.0700,0.0514,0.9867,5.3,-0.8601,101667
800,0.1000,0.0575,0.9848,5.3,-0.7970,115587
900,0.0600,0.0578,0.9829,5.3,-0.8811,129873
1000,0.0400,0.0560,0.9810,5.3,-0.9228,144115
1100,0.0100,0.0518,0.9791,5.3,-0.9785,157057
1200,0.0500,0.0517,0.9772,5.3,-0.9014,171124
1300,0.0400,0.0508,0.9753,5.2,-0.9184,185322
1400,0.0400,0.0500,0.9734,5.2,-0.9221,198753
1500,0.0800,0.0520,0.9715,5.3,-0.8412,212036
1600,0.0500,0.0519,0.9696,5.2,-0.8980,226360
1700,0.0600,0.0524,0.9677,5.2,-0.8811,240187
1800,0.0600,0.0528,0.9658,5.2,-0.8778,253380
1900,0.0300,0.0516,0.9639,5.2,-0.9397,266549
2000,0.0400,0.0510,0.9620,5.2,-0.9209,279132
2100,0.0900,0.0529,0.9601,4.8,-0.8226,292887
2200,0.0200,0.0514,0.9582,5.1,-0.9585,305908
2300,0.0700,0.0522,0.9563,5.1,-0.8642,318618
2400,0.0700,0.0529,0.9544,5.2,-0.8607,331813
2500,0.0900,0.0544,0.9525,5.1,-0.8202,345502
2600,0.0700,0.0550,0.9506,5.1,-0.8595,358756
2700,0.1300,0.0578,0.9487,5.1,-0.7413,371876
2800,0.0400,0.0571,0.9468,5.2,-0.9187,384834
2900,0.0700,0.0576,0.9449,5.1,-0.8605,398030
3000,0.0200,0.0563,0.9430,5.2,-0.9576,410824
3100,0.0700,0.0568,0.9411,5.2,-0.8599,423858
3200,0.0400,0.0563,0.9392,5.2,-0.9229,436496
3300,0.0900,0.0573,0.9373,5.2,-0.8210,449247
3400,0.0700,0.0576,0.9354,5.2,-0.8551,461726
3500,0.0800,0.0583,0.9335,5.2,-0.8438,473835
3600,0.0500,0.0581,0.9316,5.2,-0.8933,486875
3700,0.0700,0.0584,0.9297,5.2,-0.8661,499086
3800,0.0900,0.0592,0.9278,5.2,-0.8215,511560
3900,0.0600,0.0592,0.9259,5.2,-0.8755,523616
4000,0.0800,0.0597,0.9240,5.2,-0.8442,537269
4100,0.0500,0.0595,0.9221,5.3,-0.9061,549363
4200,0.0500,0.0593,0.9202,5.5,-0.9000,561014
4300,0.1000,0.0602,0.9183,5.5,-0.7996,573547
4400,0.0700,0.0605,0.9164,5.4,-0.8581,586277
4500,0.0800,0.0609,0.9145,5.4,-0.8411,598426
4600,0.0400,0.0604,0.9126,5.4,-0.9202,610952
4700,0.0400,0.0600,0.9107,5.5,-0.9201,623016
4800,0.0800,0.0604,0.9088,5.4,-0.8392,635698
4900,0.0800,0.0608,0.9069,5.4,-0.8429,648134
5000,0.0800,0.0612,0.9050,5.5,-0.8397,659868
5100,0.0500,0.0610,0.9031,5.4,-0.8980,672145
5200,0.0900,0.0615,0.9012,5.4,-0.8172,684342
5300,0.0600,0.0615,0.8993,5.5,-0.8807,695948
5400,0.0500,0.0613,0.8974,5.4,-0.9012,707986
5500,0.0400,0.0609,0.8955,5.5,-0.9186,719335
5600,0.0300,0.0604,0.8936,5.5,-0.9402,731717
5700,0.1000,0.0612,0.8917,5.4,-0.8022,743428
5800,0.0600,0.0612,0.8898,5.4,-0.8836,754871
5900,0.0800,0.0615,0.8879,5.4,-0.8358,766923
6000,0.0700,0.0617,0.8860,5.5,-0.8636,778690
6100,0.0500,0.0615,0.8841,4.9,-0.9062,790491
6200,0.0600,0.0615,0.8822,5.3,-0.8801,801599
6300,0.1400,0.0627,0.8803,5.3,-0.7199,813443
6400,0.0600,0.0627,0.8784,5.3,-0.8784,825077
6500,0.1000,0.0632,0.8765,5.3,-0.8028,836850
6600,0.0700,0.0633,0.8746,5.3,-0.8576,848257
6700,0.0300,0.0628,0.8727,5.2,-0.9426,859980
6800,0.0700,0.0629,0.8708,5.3,-0.8547,870976
6900,0.0600,0.0629,0.8689,5.3,-0.8844,882639
7000,0.0600,0.0629,0.8670,5.3,-0.8762,893886
7100,0.1000,0.0634,0.8651,5.3,-0.8013,905485
7200,0.0500,0.0632,0.8632,5.3,-0.9015,917153
7300,0.0600,0.0632,0.8613,5.3,-0.8813,928296
7400,0.0900,0.0635,0.8594,5.3,-0.8178,939820
7500,0.0900,0.0639,0.8575,5.3,-0.8221,950745
7600,0.0800,0.0641,0.8556,5.4,-0.8388,961798
7700,0.0500,0.0639,0.8537,5.3,-0.8987,973374
7800,0.1100,0.0645,0.8518,5.3,-0.7782,984783
7900,0.1100,0.0651,0.8499,5.3,-0.7847,995820
8000,0.0800,0.0653,0.8480,5.4,-0.8376,1007054
8100,0.1100,0.0658,0.8461,4.4,-0.7866,1018866
8200,0.1000,0.0662,0.8442,4.9,-0.7993,1030268
8300,0.0400,0.0659,0.8423,5.0,-0.9176,1041130
8400,0.0500,0.0657,0.8404,5.2,-0.9010,1052443
8500,0.0800,0.0659,0.8385,5.3,-0.8380,1063774
8600,0.1100,0.0665,0.8366,5.3,-0.7810,1074610
8700,0.0800,0.0668,0.8347,5.3,-0.8436,1086476
8800,0.1200,0.0674,0.8328,5.4,-0.7590,1097053
8900,0.0700,0.0674,0.8309,5.3,-0.8588,1108480
9000,0.0900,0.0677,0.8290,5.4,-0.8217,1119549
9100,0.0400,0.0674,0.8271,5.3,-0.9196,1129869
9200,0.0800,0.0675,0.8252,5.4,-0.8386,1140642
9300,0.0600,0.0674,0.8233,5.4,-0.8828,1151052
9400,0.1200,0.0680,0.8214,5.4,-0.7587,1162340
9500,0.0900,0.0682,0.8195,5.5,-0.8158,1173267
9600,0.1000,0.0685,0.8176,5.5,-0.8019,1183917
9700,0.1000,0.0689,0.8157,5.4,-0.7989,1194547
9800,0.1100,0.0693,0.8138,5.4,-0.7824,1205150
9900,0.0900,0.0695,0.8119,5.4,-0.8217,1215942
10000,0.0800,0.0696,0.8100,5.4,-0.8378,1226653
10100,0.0800,0.0697,0.8081,5.7,-0.8424,1237625
10200,0.1000,0.0700,0.8062,5.6,-0.8005,1248181
10300,0.1200,0.0705,0.8043,5.6,-0.7641,1258585
10400,0.0900,0.0707,0.8024,5.5,-0.8159,1269146
10500,0.1300,0.0712,0.8005,5.5,-0.7416,1279745
10600,0.1300,0.0718,0.7986,5.5,-0.7436,1290563
10700,0.0700,0.0718,0.7967,5.5,-0.8554,1300854
10800,0.0700,0.0718,0.7948,5.5,-0.8615,1311560
10900,0.1100,0.0721,0.7929,5.6,-0.7806,1322294
11000,0.1000,0.0724,0.7910,5.5,-0.8023,1332930
11100,0.0700,0.0723,0.7891,5.6,-0.8547,1343435
11200,0.1500,0.0730,0.7872,5.6,-0.7044,1353872
11300,0.1000,0.0733,0.7853,5.6,-0.7970,1363985
11400,0.1600,0.0740,0.7834,5.6,-0.6833,1374636
11500,0.0900,0.0742,0.7815,5.5,-0.8200,1385342
11600,0.1900,0.0752,0.7796,5.5,-0.6151,1395686
11700,0.1500,0.0758,0.7777,5.6,-0.7014,1405466
11800,0.0800,0.0758,0.7758,5.5,-0.8389,1415637
11900,0.0900,0.0760,0.7739,5.5,-0.8214,1426613
12000,0.0900,0.0761,0.7720,5.6,-0.8220,1436896
12100,0.0700,0.0760,0.7701,5.4,-0.8661,1446814
12200,0.1400,0.0766,0.7682,5.5,-0.7174,1456902
12300,0.1000,0.0767,0.7663,5.3,-0.7991,1467829
12400,0.1200,0.0771,0.7644,5.4,-0.7576,1478136
12500,0.1900,0.0781,0.7625,5.4,-0.6258,1488579
12600,0.0700,0.0780,0.7606,5.4,-0.8600,1498704
12700,0.0400,0.0777,0.7587,5.6,-0.9180,1508808
