Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0790,0.0790,0.9620,7.1,-0.8427,136635
2000,0.0960,0.0875,0.9240,7.3,-0.8079,256131
3000,0.1080,0.0943,0.8860,7.2,-0.7840,365372
4000,0.1110,0.0985,0.8480,7.4,-0.7780,467662
5000,0.1170,0.1022,0.8100,7.4,-0.7659,568232
6000,0.1400,0.1085,0.7720,7.7,-0.7206,663816
7000,0.1520,0.1147,0.7340,7.7,-0.6957,756605
8000,0.1530,0.1195,0.6960,7.8,-0.6942,846689
9000,0.1500,0.1229,0.6580,7.7,-0.7003,934785
10000,0.2050,0.1311,0.6200,7.7,-0.5894,1020889
11000,0.2270,0.1398,0.5820,8.1,-0.5463,1106396
12000,0.2520,0.1492,0.5440,8.1,-0.4960,1190235
13000,0.2450,0.1565,0.5060,8.1,-0.5102,1273529
14000,0.2670,0.1645,0.4680,8.2,-0.4662,1349957
15000,0.3020,0.1737,0.4300,8.3,-0.3957,1429251
16000,0.3250,0.1832,0.3920,8.4,-0.3508,1506347
17000,0.3430,0.1926,0.3540,8.5,-0.3136,1580695
18000,0.3440,0.2011,0.3160,8.5,-0.3119,1654794
19000,0.3750,0.2103,0.2780,8.5,-0.2495,1725496
20000,0.4210,0.2208,0.2400,8.5,-0.1583,1796422
21000,0.4330,0.2310,0.2020,8.9,-0.1341,1864564
22000,0.4470,0.2409,0.1640,8.7,-0.1058,1931346
23000,0.5260,0.2533,0.1260,8.6,0.0520,1997230
24000,0.5610,0.2661,0.0880,8.6,0.1218,2059549
25000,0.5660,0.2782,0.0500,8.6,0.1321,2119962
26000,0.5920,0.2903,0.0500,8.4,0.1833,2178384
27000,0.6080,0.3021,0.0500,8.5,0.2162,2236409
28000,0.6030,0.3129,0.0500,8.4,0.2063,2293877
29000,0.6180,0.3234,0.0500,8.4,0.2358,2351461
30000,0.6030,0.3328,0.0500,8.3,0.2062,2409455
31000,0.6070,0.3417,0.0500,8.2,0.2139,2464776
32000,0.6170,0.3504,0.0500,8.4,0.2338,2519585
33000,0.6060,0.3582,0.0500,8.4,0.2118,2574347
34000,0.6110,0.3656,0.0500,8.4,0.2221,2628251
35000,0.6270,0.3731,0.0500,8.3,0.2545,2683443
36000,0.6410,0.3806,0.0500,8.1,0.2817,2737626
37000,0.6180,0.3870,0.0500,8.2,0.2362,2791863
38000,0.6470,0.3939,0.0500,8.2,0.2940,2843878
39000,0.6250,0.3998,0.0500,8.2,0.2497,2895725
40000,0.6310,0.4057,0.0500,8.2,0.2615,2948812
41000,0.6280,0.4112,0.0500,8.0,0.2557,3000909
42000,0.6200,0.4162,0.0500,8.2,0.2402,3052485
43000,0.5900,0.4203,0.0500,8.1,0.1798,3104669
44000,0.6440,0.4253,0.0500,8.2,0.2886,3155711
45000,0.6460,0.4303,0.0500,8.2,0.2917,3207062
46000,0.6480,0.4350,0.0500,8.1,0.2956,3258450
47000,0.6450,0.4396,0.0500,8.1,0.2907,3309535
48000,0.6450,0.4439,0.0500,8.1,0.2896,3360068
49000,0.6420,0.4479,0.0500,8.1,0.2840,3410463
50000,0.6370,0.4517,0.0500,8.2,0.2743,3460062
