Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.4830,0.4830,0.0500,13.2,-0.0341,86047
2000,0.4870,0.4855,0.0500,13.2,-0.0263,161495
3000,0.4700,0.4803,0.0500,13.1,-0.0599,232245
4000,0.4730,0.4788,0.0500,12.9,-0.0536,298927
5000,0.4900,0.4810,0.0500,12.8,-0.0202,362847
6000,0.4660,0.4785,0.0500,12.7,-0.0683,424015
7000,0.4710,0.4779,0.0500,12.4,-0.0578,487192
8000,0.4910,0.4795,0.0500,12.6,-0.0181,546091
9000,0.4570,0.4771,0.0500,12.4,-0.0859,602915
10000,0.4620,0.4756,0.0500,12.4,-0.0760,658951
11000,0.4670,0.4748,0.0500,12.6,-0.0664,714676
12000,0.4500,0.4728,0.0500,12.4,-0.0996,769945
13000,0.4440,0.4706,0.0500,12.6,-0.1121,823683
14000,0.4780,0.4711,0.0500,12.8,-0.0440,876687
15000,0.4480,0.4697,0.0500,12.9,-0.1040,929568
16000,0.4720,0.4699,0.0500,11.9,-0.0562,982008
17000,0.4510,0.4689,0.0500,12.0,-0.0981,1032732
18000,0.4660,0.4687,0.0500,12.0,-0.0681,1084509
19000,0.4930,0.4701,0.0500,11.9,-0.0140,1135970
20000,0.4360,0.4683,0.0500,11.9,-0.1274,1185436
21000,0.4780,0.4688,0.0500,12.1,-0.0443,1235481
22000,0.4740,0.4691,0.0500,12.0,-0.0520,1284484
23000,0.4650,0.4689,0.0500,12.0,-0.0697,1332939
24000,0.4760,0.4692,0.0500,12.1,-0.0483,1381724
25000,0.4890,0.4700,0.0500,12.0,-0.0222,1429410
26000,0.4860,0.4706,0.0500,11.9,-0.0281,1476559
27000,0.4780,0.4709,0.0500,11.9,-0.0441,1523734
28000,0.5020,0.4720,0.0500,11.9,0.0040,1570669
29000,0.5120,0.4734,0.0500,11.9,0.0244,1617671
30000,0.4860,0.4739,0.0500,11.9,-0.0284,1663891
31000,0.4750,0.4740,0.0500,11.8,-0.0497,1709618
32000,0.4790,0.4742,0.0500,11.8,-0.0424,1755862
33000,0.4800,0.4744,0.0500,11.7,-0.0404,1800507
34000,0.4850,0.4747,0.0500,11.8,-0.0298,1844590
35000,0.4870,0.4751,0.0500,11.8,-0.0259,1889036
36000,0.4930,0.4756,0.0500,11.5,-0.0145,1934168
37000,0.4880,0.4760,0.0500,11.5,-0.0237,1978496
38000,0.4910,0.4764,0.0500,11.6,-0.0183,2021588
39000,0.4920,0.4768,0.0500,11.7,-0.0151,2064823
40000,0.4890,0.4771,0.0500,11.7,-0.0220,2108877
41000,0.4870,0.4773,0.0500,11.5,-0.0262,2152805
42000,0.4880,0.4776,0.0500,11.5,-0.0240,2197525
43000,0.4860,0.4778,0.0500,11.5,-0.0281,2240269
44000,0.4950,0.4782,0.0500,11.5,-0.0099,2281707
45000,0.4800,0.4783,0.0500,11.5,-0.0404,2322932
46000,0.4910,0.4786,0.0500,11.5,-0.0178,2363772
47000,0.4950,0.4790,0.0500,11.4,-0.0105,2404761
48000,0.5070,0.4796,0.0500,11.4,0.0141,2446182
49000,0.4890,0.4798,0.0500,11.5,-0.0219,2486625
50000,0.5080,0.4804,0.0500,11.5,0.0160,2528201
