Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.1020,0.1020,0.0500,6.7,-0.7965,33030
2000,0.1420,0.1220,0.0500,6.6,-0.7162,59078
3000,0.1810,0.1417,0.0500,6.5,-0.6377,82227
4000,0.1820,0.1517,0.0500,6.4,-0.6355,103026
5000,0.1930,0.1600,0.0500,6.4,-0.6146,122041
6000,0.2330,0.1723,0.0500,6.3,-0.5345,139631
7000,0.2790,0.1877,0.0500,6.2,-0.4420,156611
8000,0.3040,0.2023,0.0500,6.3,-0.3916,172218
9000,0.2900,0.2120,0.0500,6.2,-0.4198,187206
10000,0.3360,0.2244,0.0500,6.2,-0.3286,201845
11000,0.3030,0.2318,0.0500,6.4,-0.3945,215968
12000,0.3350,0.2405,0.0500,6.4,-0.3300,229796
13000,0.3200,0.2466,0.0500,6.3,-0.3597,243101
14000,0.3380,0.2532,0.0500,6.2,-0.3245,256088
15000,0.3610,0.2605,0.0500,6.2,-0.2776,268357
16000,0.3620,0.2669,0.0500,6.2,-0.2764,280574
17000,0.3680,0.2729,0.0500,6.1,-0.2635,291981
18000,0.3910,0.2795,0.0500,6.2,-0.2186,303111
19000,0.3930,0.2855,0.0500,6.1,-0.2132,314027
20000,0.4030,0.2914,0.0500,6.1,-0.1947,325224
21000,0.3720,0.2952,0.0500,6.3,-0.2563,335838
22000,0.3710,0.2987,0.0500,6.2,-0.2577,346034
23000,0.4220,0.3040,0.0500,6.4,-0.1560,356099
24000,0.4240,0.3091,0.0500,6.3,-0.1520,366168
25000,0.4460,0.3146,0.0500,6.3,-0.1080,375564
26000,0.4170,0.3186,0.0500,6.3,-0.1658,385097
27000,0.4410,0.3232,0.0500,6.2,-0.1186,394687
28000,0.4240,0.3268,0.0500,6.3,-0.1522,403593
29000,0.4380,0.3307,0.0500,6.2,-0.1234,412455
30000,0.4300,0.3340,0.0500,6.2,-0.1401,421234
31000,0.4630,0.3382,0.0500,6.4,-0.0745,429774
32000,0.4330,0.3412,0.0500,6.2,-0.1340,438385
33000,0.4240,0.3438,0.0500,6.2,-0.1519,447145
34000,0.4430,0.3467,0.0500,6.2,-0.1138,455419
35000,0.4420,0.3494,0.0500,6.2,-0.1159,463637
36000,0.4310,0.3517,0.0500,6.2,-0.1384,472101
37000,0.4610,0.3547,0.0500,6.1,-0.0774,480507
38000,0.4930,0.3583,0.0500,6.1,-0.0146,488676
39000,0.4580,0.3609,0.0500,6.1,-0.0841,496925
40000,0.5050,0.3645,0.0500,6.1,0.0105,504635
41000,0.4680,0.3671,0.0500,6.1,-0.0643,513030
42000,0.4840,0.3699,0.0500,6.1,-0.0317,520874
43000,0.4580,0.3720,0.0500,6.1,-0.0845,528776
44000,0.4720,0.3743,0.0500,6.2,-0.0557,536394
45000,0.4480,0.3760,0.0500,6.2,-0.1037,543505
46000,0.4750,0.3782,0.0500,6.1,-0.0504,551288
47000,0.4690,0.3801,0.0500,6.1,-0.0614,558548
48000,0.4740,0.3821,0.0500,6.0,-0.0529,566143
49000,0.4700,0.3839,0.0500,6.1,-0.0600,573303
50000,0.5050,0.3864,0.0500,6.0,0.0105,580559
