Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0860,0.0870,0.9620,6.1,-0.8286,90055
2000,0.0880,0.0875,0.9240,6.3,-0.8241,147206
3000,0.1220,0.0990,0.8860,6.4,-0.7558,193642
4000,0.1210,0.1045,0.8480,6.3,-0.7581,234292
5000,0.1430,0.1124,0.8100,6.4,-0.7140,268006
6000,0.1420,0.1173,0.7720,6.5,-0.7164,301995
7000,0.1620,0.1239,0.7340,6.5,-0.6762,332240
8000,0.1740,0.1301,0.6960,6.5,-0.6519,360522
9000,0.2030,0.1383,0.6580,6.5,-0.5938,387435
10000,0.2060,0.1451,0.6200,6.5,-0.5882,412730
11000,0.2200,0.1519,0.5820,6.6,-0.5599,436719
12000,0.2490,0.1601,0.5440,6.6,-0.5026,459967
13000,0.2760,0.1692,0.5060,6.6,-0.4481,482545
14000,0.2820,0.1772,0.4680,6.5,-0.4356,504701
15000,0.2830,0.1843,0.4300,6.5,-0.4337,526051
16000,0.3110,0.1923,0.3920,6.5,-0.3784,546384
17000,0.3490,0.2016,0.3540,6.5,-0.3017,565665
18000,0.3520,0.2100,0.3160,6.4,-0.2964,583745
19000,0.3910,0.2196,0.2780,6.4,-0.2176,601053
20000,0.4410,0.2307,0.2400,6.4,-0.1179,617368
21000,0.4500,0.2412,0.2020,6.3,-0.1005,633917
22000,0.4190,0.2494,0.1640,6.3,-0.1615,649261
23000,0.4500,0.2581,0.1260,6.3,-0.1004,664411
24000,0.5080,0.2686,0.0880,6.2,0.0160,678221
25000,0.5140,0.2785,0.0500,6.1,0.0280,693634
26000,0.5050,0.2873,0.0500,6.0,0.0096,707902
27000,0.5140,0.2957,0.0500,5.9,0.0281,720816
28000,0.5410,0.3045,0.0500,6.0,0.0823,733133
29000,0.5000,0.3113,0.0500,6.0,-0.0005,744713
30000,0.5000,0.3177,0.0500,5.9,-0.0003,755753
31000,0.5260,0.3245,0.0500,6.2,0.0520,766729
32000,0.5160,0.3305,0.0500,6.3,0.0324,777668
33000,0.5230,0.3363,0.0500,6.2,0.0465,788287
34000,0.5040,0.3412,0.0500,6.2,0.0070,798981
35000,0.5110,0.3461,0.0500,6.2,0.0217,809460
36000,0.5420,0.3516,0.0500,6.2,0.0844,819771
37000,0.5360,0.3566,0.0500,6.3,0.0723,830048
38000,0.4850,0.3601,0.0500,6.2,-0.0307,840733
39000,0.4720,0.3629,0.0500,6.2,-0.0554,850770
40000,0.4960,0.3663,0.0500,6.3,-0.0083,859586
41000,0.5020,0.3696,0.0500,6.2,0.0041,870108
42000,0.5000,0.3727,0.0500,6.2,-0.0002,880107
43000,0.4820,0.3752,0.0500,6.2,-0.0356,889572
44000,0.5070,0.3782,0.0500,6.2,0.0136,898908
45000,0.4750,0.3804,0.0500,6.2,-0.0499,908210
46000,0.4930,0.3828,0.0500,6.3,-0.0142,916680
47000,0.4700,0.3847,0.0500,6.3,-0.0602,926036
48000,0.4440,0.3860,0.0500,6.3,-0.1117,934626
49000,0.4750,0.3878,0.0500,6.3,-0.0505,943025
50000,0.4620,0.3893,0.0500,6.3,-0.0764,952202
