Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0140,0.0140,0.0500,8.4,-0.9726,28110
2000,0.0110,0.0130,0.0500,8.5,-0.9780,55138
3000,0.0130,0.0130,0.0500,8.5,-0.9741,82105
4000,0.0280,0.0168,0.0500,8.5,-0.9438,108015
5000,0.0180,0.0170,0.0500,8.5,-0.9640,133652
6000,0.0300,0.0193,0.0500,8.3,-0.9408,159134
7000,0.0190,0.0193,0.0500,8.4,-0.9620,184027
8000,0.0290,0.0205,0.0500,8.4,-0.9418,208355
9000,0.0200,0.0204,0.0500,8.4,-0.9602,232492
10000,0.0160,0.0200,0.0500,8.4,-0.9680,255812
11000,0.0280,0.0207,0.0500,8.4,-0.9444,279402
12000,0.0260,0.0212,0.0500,8.4,-0.9481,302193
13000,0.0320,0.0220,0.0500,8.3,-0.9361,325388
14000,0.0320,0.0227,0.0500,8.3,-0.9360,348410
15000,0.0200,0.0225,0.0500,8.3,-0.9597,370805
16000,0.0390,0.0236,0.0500,8.4,-0.9224,392970
17000,0.0280,0.0238,0.0500,8.4,-0.9438,414943
18000,0.0390,0.0247,0.0500,8.3,-0.9223,436876
19000,0.0440,0.0257,0.0500,8.3,-0.9118,459343
20000,0.0390,0.0263,0.0500,8.3,-0.9222,480910
21000,0.0430,0.0271,0.0500,8.2,-0.9147,502729
22000,0.0480,0.0280,0.0500,8.3,-0.9041,524421
23000,0.0270,0.0280,0.0500,8.3,-0.9457,545983
24000,0.0400,0.0285,0.0500,8.3,-0.9204,567074
25000,0.0410,0.0290,0.0500,8.3,-0.9176,587966
26000,0.0420,0.0295,0.0500,8.3,-0.9166,608769
27000,0.0370,0.0298,0.0500,8.3,-0.9260,629643
28000,0.0400,0.0302,0.0500,8.2,-0.9199,650534
29000,0.0370,0.0304,0.0500,8.2,-0.9259,670943
30000,0.0490,0.0310,0.0500,8.3,-0.9020,691266
31000,0.0480,0.0315,0.0500,8.3,-0.9047,711608
32000,0.0460,0.0320,0.0500,8.3,-0.9080,732523
33000,0.0550,0.0327,0.0500,8.2,-0.8896,752893
34000,0.0550,0.0334,0.0500,8.2,-0.8904,773259
35000,0.0570,0.0340,0.0500,8.1,-0.8856,793592
36000,0.0550,0.0346,0.0500,8.2,-0.8906,814118
37000,0.0580,0.0352,0.0500,8.1,-0.8839,834479
38000,0.0680,0.0361,0.0500,8.1,-0.8641,854188
39000,0.0400,0.0362,0.0500,8.2,-0.9200,873882
40000,0.0600,0.0368,0.0500,8.1,-0.8799,893830
41000,0.0450,0.0370,0.0500,7.9,-0.9105,913843
42000,0.0650,0.0377,0.0500,8.0,-0.8696,934099
43000,0.0560,0.0381,0.0500,8.0,-0.8881,954034
44000,0.0600,0.0386,0.0500,8.0,-0.8804,973508
45000,0.0650,0.0392,0.0500,8.0,-0.8700,992980
46000,0.0690,0.0398,0.0500,7.8,-0.8625,1012901
47000,0.0610,0.0403,0.0500,8.0,-0.8783,1032539
48000,0.0550,0.0406,0.0500,8.0,-0.8896,1051646
49000,0.0630,0.0411,0.0500,7.9,-0.8741,1071182
50000,0.0610,0.0415,0.0500,8.0,-0.8781,1090089
