Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0920,0.0920,0.9620,8.5,-0.8165,29345
2000,0.0960,0.0940,0.9240,8.6,-0.8082,52018
3000,0.0970,0.0950,0.8860,8.6,-0.8057,71676
4000,0.0910,0.0940,0.8480,8.6,-0.8183,89670
5000,0.1250,0.1002,0.8100,8.6,-0.7497,106166
6000,0.1010,0.1003,0.7720,8.6,-0.7985,121344
7000,0.1070,0.1013,0.7340,8.5,-0.7860,135615
8000,0.1350,0.1056,0.6960,8.6,-0.7299,149677
9000,0.1580,0.1114,0.6580,8.6,-0.6839,163073
10000,0.1450,0.1148,0.6200,8.5,-0.7103,175996
11000,0.1760,0.1205,0.5820,8.3,-0.6482,188441
12000,0.1670,0.1244,0.5440,8.4,-0.6663,200422
13000,0.1880,0.1293,0.5060,8.3,-0.6239,212191
14000,0.2060,0.1348,0.4680,8.3,-0.5883,223424
15000,0.1900,0.1385,0.4300,8.3,-0.6194,233994
16000,0.2030,0.1426,0.3920,8.3,-0.5944,244505
17000,0.2090,0.1466,0.3540,8.2,-0.5813,255362
18000,0.2250,0.1510,0.3160,8.2,-0.5506,265164
19000,0.2410,0.1558,0.2780,8.2,-0.5181,274733
20000,0.2540,0.1607,0.2400,8.2,-0.4923,284247
21000,0.2460,0.1648,0.2020,7.9,-0.5083,293596
22000,0.2690,0.1695,0.1640,7.9,-0.4624,302211
23000,0.2640,0.1736,0.1260,7.8,-0.4716,310813
24000,0.2510,0.1768,0.0880,7.7,-0.4983,319328
25000,0.2910,0.1814,0.0500,7.6,-0.4180,327369
26000,0.2880,0.1855,0.0500,7.7,-0.4245,335171
27000,0.2410,0.1876,0.0500,7.8,-0.5177,342641
28000,0.2920,0.1913,0.0500,7.8,-0.4162,350714
29000,0.2950,0.1949,0.0500,7.7,-0.4100,357940
30000,0.2910,0.1981,0.0500,7.7,-0.4179,365211
31000,0.2780,0.2007,0.0500,7.7,-0.4443,372590
32000,0.3100,0.2042,0.0500,7.7,-0.3800,379839
33000,0.3210,0.2077,0.0500,7.7,-0.3581,387191
34000,0.2980,0.2104,0.0500,7.7,-0.4041,394117
35000,0.2610,0.2118,0.0500,7.7,-0.4779,401267
36000,0.2640,0.2132,0.0500,7.9,-0.4727,407730
37000,0.2820,0.2151,0.0500,7.8,-0.4361,414635
38000,0.2950,0.2172,0.0500,7.8,-0.4094,421342
39000,0.2800,0.2189,0.0500,7.7,-0.4401,428090
40000,0.2950,0.2208,0.0500,7.7,-0.4102,434337
41000,0.3070,0.2229,0.0500,7.6,-0.3858,440775
42000,0.3090,0.2250,0.0500,7.6,-0.3825,446918
43000,0.2900,0.2265,0.0500,7.7,-0.4200,452865
44000,0.2770,0.2277,0.0500,7.6,-0.4463,459187
45000,0.2930,0.2291,0.0500,7.6,-0.4140,465000
46000,0.2920,0.2305,0.0500,7.9,-0.4166,471103
47000,0.2980,0.2320,0.0500,7.9,-0.4036,477222
48000,0.2820,0.2330,0.0500,7.9,-0.4357,483053
49000,0.2850,0.2341,0.0500,7.9,-0.4303,488855
50000,0.2910,0.2352,0.0500,7.8,-0.4182,495124
