Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0320,0.0320,0.9620,5.8,-0.9368,40186
2000,0.0280,0.0300,0.9240,6.0,-0.9441,77769
3000,0.0340,0.0313,0.8860,6.0,-0.9318,114293
4000,0.0400,0.0335,0.8480,6.1,-0.9200,149532
5000,0.0280,0.0324,0.8100,6.1,-0.9441,183986
6000,0.0390,0.0335,0.7720,6.1,-0.9227,218527
7000,0.0380,0.0341,0.7340,6.2,-0.9238,252024
8000,0.0250,0.0330,0.6960,6.1,-0.9502,285920
9000,0.0340,0.0331,0.6580,6.1,-0.9317,319333
10000,0.0230,0.0321,0.6200,6.0,-0.9542,352425
11000,0.0270,0.0316,0.5820,5.8,-0.9466,385341
12000,0.0300,0.0315,0.5440,5.9,-0.9395,417398
13000,0.0320,0.0315,0.5060,5.8,-0.9366,449159
14000,0.0360,0.0319,0.4680,5.8,-0.9273,480812
15000,0.0450,0.0327,0.4300,5.8,-0.9100,512368
16000,0.0310,0.0326,0.3920,5.6,-0.9387,543528
17000,0.0380,0.0329,0.3540,5.8,-0.9238,573521
18000,0.0350,0.0330,0.3160,5.8,-0.9300,603757
19000,0.0480,0.0338,0.2780,5.8,-0.9042,633598
20000,0.0360,0.0339,0.2400,5.8,-0.9273,663349
21000,0.0410,0.0343,0.2020,5.6,-0.9186,693254
22000,0.0360,0.0344,0.1640,5.7,-0.9280,721900
23000,0.0380,0.0345,0.1260,5.7,-0.9240,750797
24000,0.0450,0.0350,0.0880,5.7,-0.9099,779374
25000,0.0400,0.0352,0.0500,5.7,-0.9201,807942
26000,0.0610,0.0362,0.0500,5.3,-0.8784,837222
27000,0.0540,0.0369,0.0500,5.4,-0.8922,866891
28000,0.0390,0.0369,0.0500,5.4,-0.9219,895922
29000,0.0540,0.0375,0.0500,5.4,-0.8921,924098
30000,0.0380,0.0375,0.0500,5.4,-0.9243,952274
31000,0.0390,0.0375,0.0500,5.6,-0.9225,979845
32000,0.0300,0.0373,0.0500,5.5,-0.9400,1007868
33000,0.0510,0.0377,0.0500,5.5,-0.8982,1035956
34000,0.0430,0.0379,0.0500,5.5,-0.9140,1063478
35000,0.0470,0.0381,0.0500,5.5,-0.9060,1091775
36000,0.0510,0.0385,0.0500,5.5,-0.8985,1119747
37000,0.0540,0.0389,0.0500,5.6,-0.8919,1147177
38000,0.0370,0.0388,0.0500,5.6,-0.9261,1174940
39000,0.0410,0.0389,0.0500,5.6,-0.9174,1202812
40000,0.0410,0.0389,0.0500,5.6,-0.9186,1230152
41000,0.0430,0.0390,0.0500,5.5,-0.9144,1257578
42000,0.0510,0.0393,0.0500,5.5,-0.8981,1284599
43000,0.0440,0.0394,0.0500,5.6,-0.9117,1311397
44000,0.0680,0.0400,0.0500,5.6,-0.8642,1338470
45000,0.0490,0.0402,0.0500,5.6,-0.9018,1365244
46000,0.0530,0.0405,0.0500,5.5,-0.8945,1392010
47000,0.0430,0.0405,0.0500,5.5,-0.9140,1419553
48000,0.0450,0.0406,0.0500,5.5,-0.9099,1445871
49000,0.0400,0.0406,0.0500,5.5,-0.9204,1472086
50000,0.0390,0.0406,0.0500,5.5,-0.9216,1498316
