Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.4100,0.4110,0.0500,8.2,-0.1804,64285
2000,0.3760,0.3940,0.0500,7.8,-0.2480,110804
3000,0.3630,0.3843,0.0500,7.7,-0.2740,150700
4000,0.3780,0.3827,0.0500,7.6,-0.2439,186170
5000,0.4070,0.3878,0.0500,7.5,-0.1858,219517
6000,0.3620,0.3838,0.0500,7.3,-0.2764,250804
7000,0.3370,0.3771,0.0500,7.3,-0.3261,279851
8000,0.3680,0.3761,0.0500,7.3,-0.2638,307155
9000,0.3730,0.3758,0.0500,7.2,-0.2540,332943
10000,0.3680,0.3750,0.0500,7.2,-0.2639,357815
11000,0.3620,0.3739,0.0500,7.2,-0.2767,382236
12000,0.3670,0.3734,0.0500,7.1,-0.2659,406202
13000,0.3980,0.3753,0.0500,7.1,-0.2038,429058
14000,0.3790,0.3756,0.0500,7.1,-0.2420,450907
15000,0.3750,0.3755,0.0500,7.1,-0.2498,472018
16000,0.3560,0.3744,0.0500,7.3,-0.2883,492116
17000,0.4290,0.3776,0.0500,7.2,-0.1412,512040
18000,0.3780,0.3777,0.0500,7.1,-0.2450,531353
19000,0.3940,0.3785,0.0500,7.1,-0.2114,550047
20000,0.3550,0.3774,0.0500,7.1,-0.2905,568153
21000,0.3650,0.3769,0.0500,7.2,-0.2699,584924
22000,0.3840,0.3773,0.0500,7.1,-0.2325,601339
23000,0.3710,0.3770,0.0500,7.1,-0.2582,618353
24000,0.3930,0.3777,0.0500,7.1,-0.2136,634035
25000,0.3700,0.3774,0.0500,7.0,-0.2601,649255
26000,0.3610,0.3768,0.0500,7.1,-0.2786,663982
27000,0.3610,0.3763,0.0500,7.1,-0.2778,678159
28000,0.3740,0.3762,0.0500,7.2,-0.2520,693538
29000,0.4010,0.3771,0.0500,7.1,-0.1980,708509
30000,0.3760,0.3770,0.0500,7.1,-0.2479,722181
31000,0.4030,0.3779,0.0500,6.9,-0.1946,736749
32000,0.3750,0.3778,0.0500,7.1,-0.2497,751085
33000,0.3510,0.3770,0.0500,7.1,-0.2983,765324
34000,0.3780,0.3770,0.0500,7.1,-0.2438,779439
35000,0.3780,0.3771,0.0500,7.2,-0.2433,792705
36000,0.3770,0.3771,0.0500,7.3,-0.2463,806202
37000,0.3740,0.3771,0.0500,7.2,-0.2524,819882
38000,0.3660,0.3768,0.0500,7.3,-0.2676,833134
39000,0.3740,0.3767,0.0500,7.2,-0.2521,846625
40000,0.3820,0.3769,0.0500,7.2,-0.2358,859081
41000,0.3870,0.3772,0.0500,6.9,-0.2264,871484
42000,0.3890,0.3775,0.0500,7.0,-0.2219,884109
43000,0.3480,0.3769,0.0500,7.0,-0.3040,896340
44000,0.3710,0.3767,0.0500,7.0,-0.2580,908577
45000,0.3920,0.3771,0.0500,7.1,-0.2164,920549
46000,0.3770,0.3772,0.0500,7.0,-0.2464,933483
47000,0.3880,0.3774,0.0500,7.1,-0.2241,945438
48000,0.3620,0.3771,0.0500,7.0,-0.2761,957071
49000,0.3860,0.3773,0.0500,7.0,-0.2279,969180
50000,0.3770,0.3773,0.0500,7.0,-0.2457,981165
