Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
100,0.3700,0.3800,0.0500,22.4,-0.2640,8936
200,0.5400,0.4600,0.0500,27.2,0.0857,17128
300,0.4300,0.4500,0.0500,29.5,-0.1464,24862
400,0.4000,0.4375,0.0500,31.2,-0.2003,32526
500,0.5200,0.4540,0.0500,31.7,0.0424,39865
600,0.5600,0.4717,0.0500,32.4,0.1215,46561
700,0.5800,0.4871,0.0500,33.1,0.1582,53427
800,0.4700,0.4850,0.0500,33.3,-0.0598,59963
900,0.4000,0.4756,0.0500,33.9,-0.2040,66533
1000,0.5000,0.4780,0.0500,33.6,0.0046,73133
1100,0.4700,0.4773,0.0500,33.7,-0.0619,79494
