Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0520,0.0520,1.0000,14.5,-0.8967,30926
2000,0.0480,0.0500,1.0000,15.0,-0.9040,61048
3000,0.0380,0.0460,1.0000,15.0,-0.9237,91949
4000,0.0500,0.0470,1.0000,14.8,-0.9003,122936
5000,0.0380,0.0452,1.0000,14.7,-0.9242,153955
6000,0.0360,0.0437,0.9976,14.6,-0.9287,183941
7000,0.0390,0.0430,0.9976,15.0,-0.9221,213781
8000,0.0390,0.0425,0.9976,14.8,-0.9217,243929
9000,0.0370,0.0419,0.9976,14.7,-0.9262,274136
10000,0.0350,0.0412,0.9976,14.7,-0.9298,304590
11000,0.0380,0.0409,0.9952,15.1,-0.9246,334391
12000,0.0470,0.0414,0.9952,15.1,-0.9061,364272
13000,0.0400,0.0413,0.9952,14.9,-0.9195,394469
14000,0.0330,0.0407,0.9952,14.7,-0.9343,424911
15000,0.0380,0.0405,0.9952,14.6,-0.9243,454851
16000,0.0430,0.0407,0.9929,14.8,-0.9146,483881
17000,0.0420,0.0408,0.9929,14.7,-0.9160,513306
18000,0.0450,0.0410,0.9929,14.8,-0.9100,543004
19000,0.0510,0.0415,0.9929,14.8,-0.8982,572361
20000,0.0270,0.0408,0.9929,14.6,-0.9460,602414
21000,0.0380,0.0407,0.9905,14.5,-0.9247,631447
22000,0.0380,0.0405,0.9905,14.7,-0.9240,660433
23000,0.0530,0.0411,0.9905,14.5,-0.8938,689974
24000,0.0410,0.0411,0.9905,14.4,-0.9181,719710
25000,0.0480,0.0414,0.9905,14.4,-0.9043,749099
26000,0.0460,0.0416,0.9881,14.6,-0.9085,778266
27000,0.0440,0.0417,0.9881,15.0,-0.9123,807095
28000,0.0390,0.0416,0.9881,14.9,-0.9217,835826
29000,0.0380,0.0414,0.9881,14.8,-0.9243,864607
30000,0.0320,0.0411,0.9881,14.7,-0.9358,893759
31000,0.0430,0.0412,0.9858,14.4,-0.9146,922475
32000,0.0410,0.0412,0.9858,14.7,-0.9180,950509
33000,0.0330,0.0409,0.9858,14.6,-0.9338,979479
34000,0.0390,0.0409,0.9858,14.6,-0.9223,1008285
35000,0.0360,0.0407,0.9858,14.7,-0.9281,1037089
36000,0.0410,0.0407,0.9834,14.3,-0.9187,1065329
37000,0.0400,0.0407,0.9834,14.5,-0.9199,1093697
38000,0.0350,0.0405,0.9834,14.5,-0.9299,1122150
39000,0.0440,0.0406,0.9834,14.4,-0.9121,1150912
40000,0.0380,0.0406,0.9834,14.5,-0.9241,1179458
41000,0.0410,0.0406,0.9810,14.4,-0.9186,1207627
42000,0.0410,0.0406,0.9810,14.4,-0.9180,1236232
43000,0.0390,0.0406,0.9810,14.8,-0.9218,1263969
44000,0.0320,0.0404,0.9810,14.6,-0.9359,1292617
45000,0.0330,0.0402,0.9810,14.6,-0.9344,1320871
46000,0.0410,0.0402,0.9786,14.5,-0.9186,1348600
47000,0.0420,0.0403,0.9786,14.6,-0.9158,1376081
48000,0.0410,0.0403,0.9786,14.6,-0.9183,1404515
49000,0.0380,0.0402,0.9786,14.4,-0.9240,1433077
50000,0.0340,0.0401,0.9786,14.5,-0.9319,1461474
51000,0.0360,0.0400,0.9762,14.7,-0.9287,1489333
52000,0.0430,0.0401,0.9762,14.8,-0.9139,1516673
53000,0.0430,0.0401,0.9762,14.6,-0.9138,1544515
54000,0.0430,0.0402,0.9762,14.6,-0.9143,1572413
55000,0.0400,0.0402,0.9762,14.5,-0.9200,1600437
56000,0.0400,0.0402,0.9739,14.8,-0.9206,1627900
57000,0.0400,0.0402,0.9739,14.8,-0.9200,1655485
58000,0.0410,0.0402,0.9739,14.8,-0.9176,1683465
59000,0.0530,0.0404,0.9739,14.7,-0.8943,1711182
60000,0.0480,0.0406,0.9739,14.7,-0.9042,1739027
61000,0.0390,0.0406,0.9715,14.5,-0.9227,1766263
62000,0.0410,0.0406,0.9715,14.7,-0.9180,1793341
63000,0.0380,0.0405,0.9715,14.7,-0.9237,1820918
64000,0.0530,0.0407,0.9715,14.4,-0.8941,1848977
65000,0.0360,0.0407,0.9715,14.5,-0.9280,1876003
66000,0.0390,0.0407,0.9691,14.9,-0.9227,1903249
67000,0.0420,0.0407,0.9691,14.9,-0.9160,1930690
68000,0.0420,0.0407,0.9691,14.7,-0.9157,1958014
69000,0.0410,0.0407,0.9691,14.6,-0.9183,1985685
70000,0.0420,0.0407,0.9691,14.7,-0.9160,2013095
71000,0.0500,0.0408,0.9667,14.3,-0.9007,2040426
72000,0.0350,0.0408,0.9667,14.8,-0.9299,2067067
73000,0.0400,0.0407,0.9667,14.6,-0.9199,2094526
74000,0.0350,0.0407,0.9667,14.6,-0.9302,2122151
75000,0.0410,0.0407,0.9667,14.6,-0.9178,2150021
76000,0.0360,0.0406,0.9644,14.0,-0.9287,2176843
77000,0.0430,0.0407,0.9644,14.4,-0.9139,2203563
78000,0.0490,0.0408,0.9644,14.5,-0.9020,2230703
79000,0.0410,0.0408,0.9644,14.4,-0.9182,2258086
80000,0.0460,0.0408,0.9644,14.4,-0.9081,2285385
81000,0.0460,0.0409,0.9620,14.4,-0.9086,2312140
82000,0.0460,0.0409,0.9620,14.8,-0.9080,2339109
83000,0.0460,0.0410,0.9620,14.5,-0.9078,2366326
84000,0.0470,0.0411,0.9620,14.5,-0.9064,2393420
85000,0.0410,0.0411,0.9620,14.5,-0.9181,2420253
86000,0.0510,0.0412,0.9596,14.2,-0.8987,2446964
87000,0.0430,0.0412,0.9596,14.5,-0.9139,2473536
88000,0.0460,0.0413,0.9596,14.6,-0.9081,2500003
89000,0.0370,0.0412,0.9596,14.5,-0.9261,2527218
90000,0.0340,0.0412,0.9596,14.6,-0.9321,2553877
91000,0.0390,0.0412,0.9573,14.2,-0.9227,2580186
92000,0.0390,0.0412,0.9573,14.5,-0.9221,2606784
93000,0.0440,0.0412,0.9573,14.6,-0.9119,2633613
94000,0.0500,0.0413,0.9573,14.5,-0.9002,2660396
95000,0.0410,0.0413,0.9573,14.5,-0.9180,2687215
96000,0.0420,0.0413,0.9549,14.2,-0.9167,2713601
97000,0.0540,0.0414,0.9549,14.6,-0.8919,2739802
98000,0.0330,0.0414,0.9549,14.9,-0.9340,2766245
99000,0.0450,0.0414,0.9549,14.6,-0.9100,2793180
100000,0.0400,0.0414,0.9549,14.6,-0.9199,2819444
101000,0.0420,0.0414,0.9525,14.5,-0.9166,2845604
102000,0.0470,0.0415,0.9525,14.6,-0.9060,2872280
103000,0.0340,0.0414,0.9525,14.6,-0.9318,2898697
104000,0.0480,0.0415,0.9525,14.4,-0.9042,2925314
105000,0.0340,0.0414,0.9525,14.5,-0.9320,2952183
106000,0.0400,0.0414,0.9501,14.4,-0.9207,2978560
107000,0.0340,0.0413,0.9501,14.6,-0.9320,3004738
108000,0.0370,0.0413,0.9501,14.5,-0.9258,3031675
109000,0.0430,0.0413,0.9501,14.4,-0.9141,3058422
110000,0.0360,0.0413,0.9501,14.4,-0.9280,3085102
111000,0.0400,0.0413,0.9477,13.9,-0.9207,3111459
112000,0.0390,0.0413,0.9477,14.4,-0.9222,3137723
113000,0.0480,0.0413,0.9477,14.6,-0.9036,3164204
114000,0.0390,0.0413,0.9477,14.5,-0.9222,3190891
115000,0.0370,0.0413,0.9477,14.6,-0.9253,3217176
116000,0.0450,0.0413,0.9454,14.5,-0.9107,3111090
117000,0.0420,0.0413,0.9454,14.5,-0.9158,3137402
118000,0.0400,0.0413,0.9454,14.5,-0.9200,3163656
119000,0.0420,0.0413,0.9454,14.3,-0.9161,3190548
120000,0.0370,0.0413,0.9454,14.4,-0.9261,3217109
121000,0.0400,0.0413,0.9430,14.8,-0.9206,3243110
122000,0.0420,0.0413,0.9430,14.8,-0.9160,3269243
123000,0.0480,0.0413,0.9430,14.8,-0.9040,3295321
124000,0.0380,0.0413,0.9430,14.6,-0.9241,3321610
125000,0.0430,0.0413,0.9430,14.6,-0.9141,3348075
126000,0.0440,0.0413,0.9406,14.3,-0.9126,3374194
