Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0400,0.0400,1.0000,12.2,-0.9206,151711
2000,0.0450,0.0425,1.0000,12.3,-0.9099,304879
3000,0.0600,0.0483,1.0000,12.5,-0.8799,458111
4000,0.0430,0.0470,1.0000,12.6,-0.9141,608949
5000,0.0400,0.0456,1.0000,12.7,-0.9200,761343
6000,0.0440,0.0453,1.0000,12.9,-0.9119,912308
7000,0.0440,0.0451,1.0000,12.9,-0.9121,1063557
8000,0.0390,0.0444,1.0000,12.9,-0.9220,1213849
9000,0.0460,0.0446,1.0000,12.9,-0.9078,1366153
10000,0.0390,0.0440,1.0000,12.9,-0.9221,1518236
11000,0.0370,0.0434,1.0000,12.9,-0.9262,1669806
12000,0.0410,0.0432,1.0000,12.8,-0.9182,1823535
13000,0.0360,0.0426,1.0000,12.9,-0.9278,1976761
14000,0.0320,0.0419,1.0000,12.9,-0.9358,2126456
15000,0.0420,0.0419,1.0000,12.8,-0.9161,2277234
16000,0.0440,0.0420,1.0000,12.8,-0.9122,2427106
17000,0.0510,0.0425,1.0000,12.9,-0.8979,2579365
18000,0.0470,0.0427,0.9919,12.5,-0.9065,1656846
19000,0.0410,0.0426,0.9919,12.7,-0.9180,1795572
20000,0.0460,0.0428,0.9919,12.9,-0.9080,1931031
21000,0.0340,0.0424,0.9919,12.8,-0.9321,2066565
22000,0.0450,0.0425,0.9919,12.9,-0.9103,2201871
23000,0.0460,0.0427,0.9919,13.0,-0.9078,2338084
24000,0.0370,0.0424,0.9919,12.9,-0.9261,2477184
25000,0.0270,0.0418,0.9919,12.9,-0.9459,2613516
26000,0.0500,0.0421,0.9919,12.8,-0.9000,2752626
27000,0.0370,0.0419,0.9919,12.8,-0.9260,2889435
28000,0.0500,0.0422,0.9872,12.7,-0.9001,3024956
29000,0.0400,0.0421,0.9872,12.8,-0.9204,3158573
30000,0.0480,0.0423,0.9872,12.9,-0.9040,3291347
31000,0.0440,0.0424,0.9872,12.8,-0.9119,3424131
32000,0.0410,0.0423,0.9872,12.9,-0.9182,3555579
33000,0.0330,0.0421,0.9872,13.0,-0.9339,3687357
34000,0.0530,0.0424,0.9872,12.9,-0.8941,3823217
35000,0.0390,0.0423,0.9872,12.9,-0.9222,3957449
36000,0.0490,0.0425,0.9872,12.9,-0.9018,4092515
37000,0.0560,0.0429,0.9872,12.8,-0.8880,4227269
38000,0.0570,0.0433,0.9824,12.2,-0.8863,4360524
39000,0.0470,0.0434,0.9824,12.5,-0.9060,4493277
40000,0.0600,0.0438,0.9824,12.6,-0.8801,4623869
41000,0.0330,0.0435,0.9824,12.7,-0.9340,4754160
42000,0.0540,0.0438,0.9824,12.7,-0.8923,4884607
43000,0.0340,0.0435,0.9824,12.8,-0.9320,5015014
44000,0.0510,0.0437,0.9824,12.8,-0.8979,5148360
45000,0.0350,0.0435,0.9824,12.8,-0.9300,5276127
46000,0.0470,0.0436,0.9824,12.8,-0.9056,5406730
47000,0.0430,0.0436,0.9824,12.8,-0.9145,5536178
48000,0.0470,0.0437,0.9777,12.6,-0.9064,5664594
49000,0.0430,0.0437,0.9777,12.8,-0.9142,5793637
50000,0.0480,0.0437,0.9777,12.9,-0.9041,5920900
51000,0.0400,0.0437,0.9777,12.9,-0.9200,6048811
52000,0.0480,0.0437,0.9777,12.9,-0.9043,6177595
53000,0.0490,0.0438,0.9777,13.0,-0.9018,6305848
54000,0.0490,0.0439,0.9777,12.9,-0.9019,6436907
55000,0.0370,0.0438,0.9777,13.0,-0.9261,6563339
56000,0.0470,0.0439,0.9777,13.1,-0.9061,6693489
57000,0.0560,0.0441,0.9777,13.0,-0.8880,6822940
58000,0.0490,0.0442,0.9729,12.8,-0.9025,6950789
59000,0.0520,0.0443,0.9729,13.0,-0.8961,7077955
60000,0.0440,0.0443,0.9729,13.1,-0.9120,7204523
61000,0.0370,0.0442,0.9729,13.1,-0.9259,7330043
62000,0.0530,0.0444,0.9729,13.1,-0.8938,7456371
63000,0.0410,0.0443,0.9729,13.2,-0.9185,7579462
64000,0.0490,0.0444,0.9729,13.1,-0.9019,7707432
65000,0.0400,0.0443,0.9729,13.2,-0.9201,7830400
66000,0.0540,0.0445,0.9729,13.2,-0.8920,7957929
67000,0.0530,0.0446,0.9729,13.1,-0.8937,8082459
68000,0.0570,0.0448,0.9682,12.4,-0.8866,8207516
69000,0.0490,0.0448,0.9682,12.7,-0.9021,8333044
70000,0.0500,0.0449,0.9682,12.9,-0.8998,8455346
71000,0.0430,0.0449,0.9682,13.0,-0.9139,8576666
72000,0.0370,0.0448,0.9682,13.0,-0.9261,8701294
73000,0.0490,0.0448,0.9682,13.1,-0.9021,8824808
74000,0.0620,0.0451,0.9682,13.1,-0.8759,8950981
75000,0.0420,0.0450,0.9682,13.2,-0.9161,9072730
76000,0.0480,0.0451,0.9682,13.3,-0.9038,9194521
77000,0.0380,0.0450,0.9682,13.2,-0.9242,9318763
78000,0.0540,0.0451,0.9634,12.8,-0.8925,9443023
79000,0.0470,0.0451,0.9634,12.8,-0.9059,9567185
80000,0.0480,0.0452,0.9634,13.0,-0.9041,9690480
81000,0.0540,0.0453,0.9634,13.0,-0.8919,9810490
82000,0.0540,0.0454,0.9634,13.1,-0.8921,9933899
83000,0.0430,0.0454,0.9634,13.1,-0.9140,10056439
84000,0.0460,0.0454,0.9634,13.1,-0.9080,10180547
85000,0.0570,0.0455,0.9634,13.1,-0.8862,10304204
86000,0.0590,0.0457,0.9634,13.1,-0.8816,10428574
87000,0.0560,0.0458,0.9634,13.0,-0.8884,10549196
88000,0.0530,0.0459,0.9587,12.4,-0.8945,10670972
89000,0.0390,0.0458,0.9587,12.8,-0.9223,10791822
90000,0.0550,0.0459,0.9587,12.9,-0.8898,10914084
91000,0.0440,0.0459,0.9587,13.1,-0.9120,11032651
92000,0.0550,0.0460,0.9587,13.1,-0.8901,11154884
93000,0.0450,0.0460,0.9587,13.0,-0.9097,11275839
94000,0.0550,0.0461,0.9587,13.0,-0.8903,11397773
95000,0.0410,0.0460,0.9587,13.0,-0.9181,11515781
96000,0.0430,0.0460,0.9587,13.0,-0.9137,11634136
97000,0.0580,0.0461,0.9587,12.9,-0.8841,11755895
98000,0.0590,0.0462,0.9539,12.4,-0.8826,11875382
99000,0.0500,0.0463,0.9539,12.7,-0.8998,11994939
100000,0.0620,0.0464,0.9539,13.0,-0.8763,12113603
101000,0.0540,0.0465,0.9539,13.2,-0.8919,12231430
102000,0.0520,0.0466,0.9539,13.3,-0.8961,12350673
103000,0.0390,0.0465,0.9539,13.3,-0.9218,12469052
104000,0.0470,0.0465,0.9539,13.2,-0.9060,12587834
105000,0.0570,0.0466,0.9539,13.1,-0.8861,12707911
106000,0.0520,0.0466,0.9539,13.2,-0.8961,12829060
107000,0.0450,0.0466,0.9539,13.0,-0.9099,12948458
108000,0.0550,0.0467,0.9492,12.1,-0.8907,13068290
109000,0.0450,0.0467,0.9492,12.5,-0.9098,13188070
110000,0.0590,0.0468,0.9492,12.7,-0.8822,13306451
111000,0.0490,0.0468,0.9492,12.8,-0.9020,13425759
112000,0.0600,0.0469,0.9492,12.9,-0.8800,13543591
113000,0.0480,0.0469,0.9492,13.0,-0.9040,13660002
114000,0.0450,0.0469,0.9492,13.0,-0.9098,13780123
115000,0.0400,0.0468,0.9492,12.9,-0.9204,13898903
116000,0.0540,0.0469,0.9492,13.0,-0.8917,14018944
117000,0.0520,0.0469,0.9492,12.9,-0.8963,14137122
118000,0.0560,0.0470,0.9444,12.0,-0.8887,14256433
119000,0.0600,0.0471,0.9444,12.6,-0.8792,14375258
120000,0.0610,0.0472,0.9444,12.8,-0.8785,14491843
121000,0.0580,0.0473,0.9444,13.1,-0.8842,14606634
122000,0.0500,0.0473,0.9444,13.1,-0.8998,14724709
123000,0.0430,0.0473,0.9444,13.1,-0.9141,14841200
124000,0.0460,0.0473,0.9444,13.1,-0.9081,14959036
125000,0.0570,0.0473,0.9444,13.1,-0.8856,15076293
126000,0.0600,0.0474,0.9444,13.1,-0.8802,15193979
127000,0.0540,0.0475,0.9444,13.0,-0.8921,15309945
128000,0.0490,0.0475,0.9397,12.0,-0.9025,15426139
129000,0.0580,0.0476,0.9397,12.5,-0.8843,15542301
130000,0.0590,0.0477,0.9397,12.8,-0.8817,15657740
131000,0.0410,0.0476,0.9397,13.1,-0.9181,15770969
132000,0.0560,0.0477,0.9397,13.2,-0.8882,15885752
133000,0.0620,0.0478,0.9397,13.0,-0.8758,16002806
134000,0.0600,0.0479,0.9397,13.0,-0.8803,16121770
135000,0.0480,0.0479,0.9397,13.0,-0.9035,16234739
136000,0.0520,0.0479,0.9397,13.1,-0.8962,16349744
137000,0.0630,0.0480,0.9397,13.0,-0.8738,16466766
138000,0.0670,0.0481,0.9349,11.9,-0.8665,16582878
139000,0.0690,0.0483,0.9349,12.5,-0.8621,16699594
140000,0.0710,0.0485,0.9349,12.8,-0.8580,16813961
141000,0.0660,0.0486,0.9349,13.0,-0.8680,16926728
142000,0.0460,0.0486,0.9349,13.0,-0.9080,17038957
143000,0.0500,0.0486,0.9349,13.0,-0.8997,17152425
144000,0.0590,0.0486,0.9349,13.0,-0.8819,17269739
145000,0.0520,0.0487,0.9349,13.1,-0.8964,17382118
146000,0.0560,0.0487,0.9349,13.2,-0.8881,17498025
147000,0.0510,0.0487,0.9349,13.1,-0.8979,17613977
148000,0.0610,0.0488,0.9302,11.9,-0.8786,17728711
149000,0.0560,0.0488,0.9302,12.5,-0.8878,17844671
150000,0.0650,0.0489,0.9302,12.8,-0.8701,17960060
151000,0.0450,0.0489,0.9302,13.1,-0.9099,18071878
152000,0.0610,0.0490,0.9302,13.0,-0.8783,18185964
153000,0.0700,0.0491,0.9302,13.0,-0.8598,18300288
154000,0.0610,0.0492,0.9302,13.0,-0.8781,18415476
155000,0.0520,0.0492,0.9302,13.0,-0.8959,18527022
156000,0.0610,0.0493,0.9302,13.0,-0.8782,18640632
157000,0.0540,0.0493,0.9302,13.0,-0.8920,18751844
158000,0.0750,0.0495,0.9254,11.7,-0.8506,18866047
159000,0.0500,0.0495,0.9254,12.6,-0.9002,18979543
160000,0.0620,0.0495,0.9254,12.8,-0.8756,19094239
161000,0.0700,0.0497,0.9254,13.0,-0.8603,19206937
162000,0.0660,0.0498,0.9254,13.0,-0.8680,19319463
163000,0.0640,0.0499,0.9254,12.9,-0.8719,19431437
164000,0.0640,0.0499,0.9254,12.9,-0.8718,19545424
165000,0.0390,0.0499,0.9254,12.9,-0.9221,19655129
166000,0.0760,0.0500,0.9254,13.0,-0.8479,19770174
167000,0.0560,0.0501,0.9254,12.9,-0.8883,19885067
168000,0.0500,0.0501,0.9207,12.0,-0.9006,19996256
169000,0.0520,0.0501,0.9207,12.5,-0.8961,20108070
170000,0.0650,0.0502,0.9207,12.7,-0.8698,20219539
171000,0.0570,0.0502,0.9207,13.0,-0.8862,20333382
172000,0.0560,0.0503,0.9207,13.0,-0.8880,20447485
173000,0.0560,0.0503,0.9207,12.8,-0.8878,20561059
174000,0.0740,0.0504,0.9207,12.8,-0.8522,20677131
175000,0.0440,0.0504,0.9207,12.9,-0.9118,20786624
176000,0.0560,0.0504,0.9207,12.9,-0.8879,20899413
177000,0.0560,0.0505,0.9207,12.9,-0.8880,21010765
178000,0.0640,0.0506,0.9159,12.0,-0.8724,21121205
179000,0.0570,0.0506,0.9159,12.6,-0.8864,21231787
180000,0.0590,0.0507,0.9159,12.8,-0.8819,21343457
181000,0.0590,0.0507,0.9159,13.1,-0.8817,21452608
182000,0.0510,0.0507,0.9159,13.1,-0.8983,21564137
183000,0.0540,0.0507,0.9159,12.9,-0.8919,21674646
184000,0.0490,0.0507,0.9159,12.9,-0.9022,21787673
185000,0.0530,0.0507,0.9159,13.0,-0.8940,21898625
186000,0.0640,0.0508,0.9159,13.0,-0.8720,22010236
187000,0.0610,0.0509,0.9159,13.0,-0.8781,22121651
188000,0.0740,0.0510,0.9112,11.7,-0.8524,22232759
189000,0.0580,0.0511,0.9112,12.3,-0.8842,22344213
190000,0.0710,0.0512,0.9112,12.7,-0.8580,22455082
191000,0.0480,0.0511,0.9112,13.0,-0.9038,22563818
192000,0.0640,0.0512,0.9112,13.1,-0.8722,22675088
193000,0.0610,0.0513,0.9112,13.0,-0.8780,22785167
194000,0.0640,0.0513,0.9112,13.0,-0.8718,22895066
195000,0.0650,0.0514,0.9112,13.0,-0.8699,23006882
196000,0.0650,0.0515,0.9112,13.1,-0.8703,23117744
197000,0.0760,0.0516,0.9112,13.0,-0.8478,23229658
198000,0.0680,0.0517,0.9064,11.7,-0.8647,23340211
199000,0.0580,0.0517,0.9064,12.3,-0.8837,23450405
200000,0.0770,0.0518,0.9064,12.7,-0.8462,23559178
201000,0.0650,0.0519,0.9064,13.0,-0.8700,23666665
202000,0.0670,0.0520,0.9064,13.1,-0.8656,23776010
203000,0.0630,0.0520,0.9064,13.0,-0.8744,23885152
204000,0.0740,0.0521,0.9064,13.0,-0.8519,23996134
205000,0.0480,0.0521,0.9064,13.0,-0.9041,24104472
206000,0.0670,0.0522,0.9064,13.1,-0.8661,24215465
207000,0.0580,0.0522,0.9064,13.0,-0.8840,24324226
208000,0.0690,0.0523,0.9017,11.4,-0.8621,24433514
209000,0.0500,0.0523,0.9017,12.2,-0.9003,24542650
210000,0.0850,0.0524,0.9017,12.6,-0.8301,24651481
211000,0.0540,0.0524,0.9017,12.9,-0.8921,24757707
212000,0.0670,0.0525,0.9017,13.1,-0.8659,24865698
213000,0.0650,0.0526,0.9017,12.9,-0.8701,24973882
214000,0.0600,0.0526,0.9017,13.0,-0.8801,25083299
215000,0.0570,0.0526,0.9017,13.0,-0.8857,25191261
216000,0.0680,0.0527,0.9017,13.0,-0.8643,25301489
217000,0.0740,0.0528,0.9017,13.0,-0.8519,25411868
218000,0.0730,0.0529,0.8969,11.2,-0.8546,25520964
219000,0.0730,0.0530,0.8969,12.1,-0.8539,25630388
220000,0.0780,0.0531,0.8969,12.5,-0.8440,25738410
221000,0.0560,0.0531,0.8969,12.9,-0.8880,25844872
222000,0.0670,0.0532,0.8969,13.1,-0.8662,25952460
223000,0.0580,0.0532,0.8969,12.9,-0.8839,26058891
224000,0.0650,0.0532,0.8969,12.9,-0.8699,26169467
225000,0.0520,0.0532,0.8969,12.9,-0.8960,26276520
226000,0.0680,0.0533,0.8969,13.0,-0.8642,26384422
227000,0.0500,0.0533,0.8969,13.0,-0.8996,26489865
228000,0.0810,0.0534,0.8922,11.2,-0.8381,26598226
229000,0.0690,0.0535,0.8922,12.2,-0.8623,26706620
230000,0.0690,0.0536,0.8922,12.6,-0.8621,26812145
231000,0.0760,0.0537,0.8922,13.0,-0.8477,26915872
232000,0.0600,0.0537,0.8922,13.2,-0.8803,27023485
233000,0.0620,0.0537,0.8922,13.0,-0.8758,27130003
234000,0.0670,0.0538,0.8922,13.0,-0.8665,27238748
235000,0.0560,0.0538,0.8922,13.0,-0.8878,27344567
236000,0.0580,0.0538,0.8922,13.1,-0.8840,27452294
237000,0.0630,0.0538,0.8922,13.1,-0.8740,27560903
238000,0.0750,0.0539,0.8874,11.1,-0.8505,27667514
239000,0.0770,0.0540,0.8874,12.0,-0.8460,27776151
240000,0.0750,0.0541,0.8874,12.4,-0.8499,27881217
241000,0.0550,0.0541,0.8874,12.8,-0.8900,27986137
242000,0.0740,0.0542,0.8874,12.9,-0.8520,28092170
243000,0.0700,0.0542,0.8874,12.8,-0.8599,28197585
244000,0.0580,0.0542,0.8874,12.8,-0.8839,28307446
245000,0.0580,0.0543,0.8874,12.8,-0.8843,28411033
246000,0.0710,0.0543,0.8874,12.9,-0.8580,28519247
247000,0.0730,0.0544,0.8874,12.9,-0.8539,28627579
248000,0.0770,0.0545,0.8827,11.1,-0.8466,28733504
249000,0.0750,0.0546,0.8827,12.1,-0.8502,28838015
250000,0.0760,0.0547,0.8827,12.5,-0.8477,28944514
251000,0.0520,0.0546,0.8827,12.9,-0.8961,29048302
252000,0.0690,0.0547,0.8827,13.0,-0.8623,29154671
253000,0.0660,0.0548,0.8827,12.8,-0.8671,29258854
254000,0.0630,0.0548,0.8827,12.9,-0.8749,29364840
255000,0.0590,0.0548,0.8827,12.9,-0.8815,29472145
256000,0.0820,0.0549,0.8827,13.0,-0.8362,29578999
257000,0.0680,0.0550,0.8827,12.9,-0.8638,29686959
258000,0.0780,0.0551,0.8779,11.4,-0.8445,29792139
259000,0.0650,0.0551,0.8779,12.2,-0.8700,29900032
260000,0.0790,0.0552,0.8779,12.6,-0.8419,30003682
261000,0.0580,0.0552,0.8779,12.9,-0.8840,30109310
262000,0.0710,0.0553,0.8779,13.1,-0.8583,30214098
263000,0.0660,0.0553,0.8779,12.9,-0.8679,30320793
264000,0.0620,0.0554,0.8779,12.9,-0.8762,30427002
265000,0.0790,0.0554,0.8779,12.9,-0.8416,30530961
266000,0.0850,0.0556,0.8779,13.0,-0.8298,30637088
267000,0.0550,0.0556,0.8779,13.0,-0.8901,30742808
268000,0.0740,0.0557,0.8732,11.2,-0.8524,30847377
269000,0.0680,0.0557,0.8732,12.2,-0.8642,30951893
270000,0.0960,0.0559,0.8732,12.6,-0.8078,31057449
271000,0.0780,0.0559,0.8732,13.0,-0.8437,31160023
272000,0.0720,0.0560,0.8732,13.1,-0.8561,31263909
273000,0.0830,0.0561,0.8732,12.9,-0.8343,31368459
274000,0.0810,0.0562,0.8732,12.9,-0.8378,31476797
275000,0.0690,0.0562,0.8732,12.9,-0.8621,31580485
276000,0.0660,0.0563,0.8732,13.0,-0.8680,31685169
277000,0.0800,0.0564,0.8732,12.9,-0.8401,31791122
278000,0.0820,0.0565,0.8684,11.3,-0.8367,31892526
279000,0.0610,0.0565,0.8684,12.3,-0.8778,31996558
280000,0.0770,0.0566,0.8684,12.7,-0.8460,32100307
281000,0.0750,0.0566,0.8684,13.0,-0.8502,32203902
282000,0.0710,0.0567,0.8684,13.2,-0.8576,32306358
283000,0.0690,0.0567,0.8684,12.9,-0.8620,32410309
284000,0.0850,0.0568,0.8684,12.9,-0.8306,32514486
285000,0.0690,0.0569,0.8684,13.2,-0.8618,32617197
286000,0.0760,0.0570,0.8684,13.1,-0.8479,32722511
287000,0.0690,0.0570,0.8684,13.0,-0.8617,32828892
288000,0.0790,0.0571,0.8637,10.9,-0.8426,32932813
289000,0.0800,0.0572,0.8637,12.0,-0.8398,33035326
290000,0.0740,0.0572,0.8637,12.4,-0.8519,33141416
291000,0.0710,0.0573,0.8637,12.8,-0.8581,33243085
292000,0.0690,0.0573,0.8637,13.0,-0.8622,33344643
293000,0.0660,0.0573,0.8637,12.7,-0.8676,33448339
