Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0850,0.0850,1.0000,15.4,-0.8303,35200
2000,0.0850,0.0850,1.0000,15.4,-0.8304,66816
3000,0.0890,0.0863,1.0000,15.6,-0.8217,95922
4000,0.0750,0.0835,1.0000,15.6,-0.8502,123908
5000,0.0870,0.0842,1.0000,15.5,-0.8260,151373
6000,0.0850,0.0843,0.9976,15.5,-0.8304,176971
7000,0.0790,0.0836,0.9976,15.5,-0.8421,201780
8000,0.0890,0.0843,0.9976,15.7,-0.8219,225508
9000,0.0790,0.0837,0.9976,15.6,-0.8420,249312
10000,0.0870,0.0840,0.9976,15.5,-0.8262,272348
11000,0.0890,0.0845,0.9952,15.7,-0.8227,294935
12000,0.0880,0.0848,0.9952,15.7,-0.8238,317059
13000,0.0940,0.0855,0.9952,15.5,-0.8120,338788
14000,0.0870,0.0856,0.9952,15.5,-0.8259,360335
15000,0.0980,0.0864,0.9952,15.5,-0.8042,381609
16000,0.0900,0.0866,0.9929,15.7,-0.8203,402636
17000,0.0810,0.0863,0.9929,15.5,-0.8384,423318
18000,0.0920,0.0866,0.9929,15.6,-0.8153,443372
19000,0.0920,0.0869,0.9929,15.5,-0.8164,463003
20000,0.0760,0.0863,0.9929,15.6,-0.8482,483091
21000,0.0840,0.0862,0.9905,15.2,-0.8325,502708
22000,0.0800,0.0859,0.9905,15.3,-0.8398,522191
23000,0.0840,0.0858,0.9905,15.3,-0.8322,541341
24000,0.0800,0.0856,0.9905,15.4,-0.8403,560832
25000,0.0910,0.0858,0.9905,15.5,-0.8179,579618
26000,0.0830,0.0857,0.9881,15.2,-0.8348,598299
27000,0.0710,0.0851,0.9881,15.1,-0.8578,616953
28000,0.0920,0.0854,0.9881,15.3,-0.8160,635292
29000,0.0930,0.0857,0.9881,15.4,-0.8139,653324
30000,0.0890,0.0858,0.9881,15.5,-0.8221,671454
31000,0.0900,0.0859,0.9858,15.1,-0.8203,689741
32000,0.0780,0.0857,0.9858,15.3,-0.8441,707230
33000,0.0870,0.0857,0.9858,15.4,-0.8261,724482
34000,0.0730,0.0854,0.9858,15.4,-0.8538,741786
35000,0.0810,0.0852,0.9858,15.4,-0.8384,758697
36000,0.0770,0.0850,0.9834,15.8,-0.8462,775468
37000,0.0740,0.0847,0.9834,15.8,-0.8524,792631
38000,0.0880,0.0848,0.9834,15.7,-0.8237,809514
39000,0.0870,0.0848,0.9834,15.6,-0.8259,826050
40000,0.0900,0.0849,0.9834,15.6,-0.8204,842936
41000,0.0910,0.0850,0.9810,15.7,-0.8183,859236
42000,0.0800,0.0849,0.9810,15.7,-0.8401,875716
43000,0.0860,0.0850,0.9810,15.5,-0.8283,892092
44000,0.0820,0.0849,0.9810,15.6,-0.8356,908768
45000,0.0730,0.0846,0.9810,15.7,-0.8543,925420
46000,0.0920,0.0848,0.9786,15.1,-0.8164,941245
47000,0.0850,0.0848,0.9786,15.1,-0.8302,957286
48000,0.0840,0.0848,0.9786,15.2,-0.8318,973481
49000,0.0870,0.0848,0.9786,15.2,-0.8261,989342
50000,0.0750,0.0846,0.9786,15.4,-0.8502,1005564
51000,0.0850,0.0846,0.9762,15.6,-0.8304,1021184
52000,0.1020,0.0849,0.9762,15.5,-0.7961,1037150
53000,0.0910,0.0851,0.9762,15.6,-0.8180,1052761
54000,0.0870,0.0851,0.9762,15.5,-0.8257,1068354
55000,0.0990,0.0853,0.9762,15.4,-0.8024,1083964
56000,0.0870,0.0853,0.9739,15.3,-0.8264,1099158
