Battles,RollingWin,OverallWin,Epsilon,Speed,AvgReward,TableSize
1000,0.0710,0.0710,1.0000,15.3,-0.8589,103864
2000,0.0830,0.0770,1.0000,15.3,-0.8333,192168
3000,0.0820,0.0787,1.0000,15.3,-0.8366,270098
4000,0.0680,0.0760,1.0000,15.4,-0.8637,342677
5000,0.0820,0.0772,1.0000,15.3,-0.8362,411582
6000,0.0870,0.0788,0.9976,15.1,-0.8268,476731
7000,0.0810,0.0791,0.9976,15.0,-0.8380,538584
8000,0.0820,0.0795,0.9976,15.0,-0.8358,598088
9000,0.0930,0.0810,0.9976,15.1,-0.8140,655347
10000,0.0860,0.0816,0.9976,15.0,-0.8281,711190
11000,0.0830,0.0817,0.9952,14.9,-0.8347,766862
12000,0.1000,0.0833,0.9952,15.1,-0.7999,820396
13000,0.0690,0.0822,0.9952,15.0,-0.8620,871375
14000,0.0960,0.0831,0.9952,14.9,-0.8078,922917
15000,0.0910,0.0837,0.9952,14.9,-0.8182,972634
16000,0.0830,0.0837,0.9929,15.8,-0.8346,1023628
17000,0.0780,0.0834,0.9929,15.5,-0.8441,1072654
18000,0.0870,0.0836,0.9929,15.3,-0.8260,1119789
19000,0.0930,0.0841,0.9929,15.1,-0.8136,1166260
20000,0.0930,0.0845,0.9929,15.1,-0.8142,1212358
21000,0.0910,0.0848,0.9905,15.1,-0.8187,1257951
22000,0.0910,0.0851,0.9905,15.2,-0.8179,1302804
23000,0.0800,0.0849,0.9905,15.5,-0.8400,1346049
24000,0.0920,0.0852,0.9905,15.6,-0.8162,1390348
25000,0.0860,0.0852,0.9905,15.3,-0.8276,1434341
26000,0.0990,0.0857,0.9881,14.8,-0.8026,1478245
27000,0.0850,0.0857,0.9881,14.8,-0.8300,1521970
28000,0.0730,0.0853,0.9881,14.9,-0.8541,1564268
29000,0.0800,0.0851,0.9881,15.0,-0.8396,1606031
30000,0.0840,0.0850,0.9881,15.4,-0.8323,1646914
31000,0.0840,0.0850,0.9858,14.9,-0.8328,1688938
32000,0.0790,0.0848,0.9858,14.9,-0.8419,1728907
33000,0.0800,0.0846,0.9858,15.0,-0.8399,1768699
34000,0.0890,0.0848,0.9858,15.1,-0.8219,1807930
35000,0.0730,0.0844,0.9858,15.1,-0.8538,1845704
36000,0.0710,0.0840,0.9834,15.5,-0.8587,1885415
37000,0.0860,0.0841,0.9834,15.7,-0.8280,1924302
